镜号,场次,场名,时间码,时长秒,景别／机位,画面动作摘要,关键状态／变体,摄影来源等级,所需视觉资产ID,所需人物音色ID,同步声音约束ID,后期文字／图形资产ID,资产状态,专业控制
001,01,直播一开场：两器即将对接,00:00:00–00:00:12,12,黑场／后期字幕,黑场依次出现：本片依据截至2026年的公开信息，对中国首次载人登月进行未来纪实推演；人物、日期、呼号及未公开任务细节均为艺术创作，不代表官方方案。,常规任务状态,D｜后期字幕／解释图卡,BY-REL-P1-007-摄影来源证据层级,,BY-REL-P1-003-声音来源真实性,BY-SYM-P0-002-艺术化光照偏差推演声明;BY-SYM-P1-001-未来纪实推演标识;BY-SYM-P1-003-任务阶段与时间跳跃标牌,阶段1映射完成｜阶段2B按镜头状态调用,字幕后期制作；给足完整阅读时间。
002,01,直播一开场：两器即将对接,00:00:12–00:00:17,5,黑场转深空／后期字幕,字幕：2029年4月6日，月球轨道。画面转为月球弧面与黑色深空。,常规任务状态,D｜后期字幕／解释图卡,BY-LGT-P1-004-环月轨道太阳光;BY-REL-P1-007-摄影来源证据层级;BY-REL-P1-010-地月视觉尺度连续性;BY-SCN-P1-006-环月轨道外部环境,,BY-REL-P1-003-声音来源真实性,BY-SYM-P1-003-任务阶段与时间跳跃标牌,阶段1映射完成｜阶段2B按镜头状态调用,日期属于本片艺术时间线。
003,01,直播一开场：两器即将对接,00:00:17–00:00:27,10,媒体区直播中景,林知夏站在固定媒体位，身后玻璃与大屏可见北京飞控中心工作状态。,常规任务状态,B｜地面直播／测控任务机位,BY-CHR-P1-002-林知夏;BY-CRO-P1-001-北京飞控任务团队;BY-CST-P1-004-林知夏记者服装;BY-LGT-P1-003-飞控大厅任务光;BY-LGT-P1-008-飞控媒体区直播光;BY-REL-P1-007-摄影来源证据层级;BY-REL-P1-008-三段直播结构链;BY-SCN-P0-006-北京飞控大厅与任务主屏;BY-SCN-P1-003-飞控中心媒体区,BY-VOI-P1-002-林知夏声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-008-飞控与测控大厅底噪;BY-SND-P1-009-媒体区直播现场声,BY-SYM-P1-007-直播进口出口与倒计时,阶段1映射完成｜阶段2B按镜头状态调用,记者不进入飞控工作大厅；台词保留起句和收句余量。
004,01,直播一开场：两器即将对接,00:00:27–00:00:39,12,月轨双器远景／视觉重建,月球弧面占画面下方，梦舟与揽月沿同一轨道方向飞行；远处地球是有清晰直径的蓝白色圆盘。画面角落标注：基于实时遥测的视觉重建。,遥测视觉重建｜角标常驻,C｜显式遥测视觉重建,BY-LGT-P1-004-环月轨道太阳光;BY-REL-P0-005-揽月构型状态链;BY-REL-P1-007-摄影来源证据层级;BY-REL-P1-010-地月视觉尺度连续性;BY-SCN-P1-006-环月轨道外部环境;BY-VEH-P0-001-梦舟载人飞船;BY-VEH-P0-002-揽月完整构型;BY-VEH-P0-003-揽月登月舱;BY-VFX-P1-008-遥测视觉重建合成,BY-VOI-P1-002-林知夏声音,BY-REL-P1-003-声音来源真实性,BY-SYM-P1-006-视觉重建来源标识,阶段1映射完成｜阶段2B按镜头状态调用,不伪装成物理外拍机位；地球不能表现为小蓝点。
005,01,直播一开场：两器即将对接,00:00:39–00:00:48,9,梦舟舱内后向广角,三名航天员全部固定在梦舟三把座椅上；杨凛居中统筹，刘定槎监看相对导航，陈砚核对揽月遥测和转移清单。,梦舟A｜三座满员／对接前,A｜航天器／宇航服／月面真实任务机位推演,BY-ANM-P0-001-梦舟四种乘员状态;BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CHR-P0-003-刘定槎;BY-CST-P0-001-杨凛舱内飞行服;BY-CST-P0-002-陈砚舱内飞行服;BY-CST-P0-003-刘定槎舱内飞行服;BY-LGT-P0-001-梦舟舱内任务光;BY-PRP-P0-001-梦舟三座椅与束缚系统;BY-PRP-P1-005-两器舱门与对接锁止结果件;BY-PRP-P1-006-舱内操作界面与任务屏;BY-REL-P0-005-揽月构型状态链;BY-REL-P0-009-梦舟三座返航承载与环月工作位;BY-REL-P0-010-梦舟轴向转移顺序;BY-REL-P1-002-两侧舱门顺序;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P0-001-梦舟舱内三座布局;BY-SCN-P0-002-梦舟对接通道与舱门区;BY-SCN-P0-005-梦舟环月工作位;BY-VEH-P0-001-梦舟载人飞船;BY-VEH-P0-002-揽月完整构型;BY-VEH-P0-003-揽月登月舱,BY-VOI-P0-001-杨凛声音;BY-VOI-P0-002-陈砚声音;BY-VOI-P0-003-刘定槎声音,BY-REL-P1-003-声音来源真实性;BY-SND-P0-001-舱内生命保障与设备底噪;BY-SND-P1-001-舱门对接机构结构传导,,阶段1映射完成｜阶段2B按镜头状态调用,第一次建立三座满员的视觉母题；揽月此时无人。
006,01,直播一开场：两器即将对接,00:00:48–00:00:56,8,飞控大厅广角,主屏显示双目标相对轨迹；飞行主任、轨道、制导导航控制和航天员系统席位安静工作。,常规任务状态,B｜地面直播／测控任务机位,BY-CRO-P1-001-北京飞控任务团队;BY-LGT-P1-003-飞控大厅任务光;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P0-006-北京飞控大厅与任务主屏,BY-VOI-P1-004-北京飞控主调度声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-008-飞控与测控大厅底噪,BY-SYM-P1-004-任务轨迹与相位图模板,阶段1映射完成｜阶段2B按镜头状态调用,只保留关键状态闭合。
007,01,直播一开场：两器即将对接,00:00:56–00:01:02,6,佳木斯深空站外景,66米天线缓慢跟踪；任务屏显示梦舟、揽月两条轨迹和链路状态。,常规任务状态,B｜地面直播／测控任务机位,BY-CRO-P1-002-深空测控值班团队;BY-LGT-P1-004-环月轨道太阳光;BY-LGT-P1-006-深空测控站任务光;BY-REL-P0-005-揽月构型状态链;BY-REL-P1-004-地面测控接力链;BY-REL-P1-007-摄影来源证据层级;BY-REL-P1-010-地月视觉尺度连续性;BY-SCN-P1-006-环月轨道外部环境;BY-SCN-P1-007-佳木斯66米深空测控站;BY-VEH-P0-001-梦舟载人飞船;BY-VEH-P0-002-揽月完整构型;BY-VEH-P0-003-揽月登月舱,BY-VOI-P1-005-林海深空测控声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-008-飞控与测控大厅底噪,BY-SYM-P1-004-任务轨迹与相位图模板,阶段1映射完成｜阶段2B按镜头状态调用,近月主链路由深空地面站接力。
008,02,环月对接,00:01:02–00:01:10,8,梦舟舱内三人中景,三名航天员保持约束状态；刘定槎读出闭合速度，陈砚监看揽月状态，杨凛确认接近序列。,梦舟A｜三座满员／对接前,A｜航天器／宇航服／月面真实任务机位推演,BY-ANM-P0-001-梦舟四种乘员状态;BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CHR-P0-003-刘定槎;BY-CST-P0-001-杨凛舱内飞行服;BY-CST-P0-002-陈砚舱内飞行服;BY-CST-P0-003-刘定槎舱内飞行服;BY-LGT-P0-001-梦舟舱内任务光;BY-PRP-P0-001-梦舟三座椅与束缚系统;BY-PRP-P1-006-舱内操作界面与任务屏;BY-REL-P0-005-揽月构型状态链;BY-REL-P0-009-梦舟三座返航承载与环月工作位;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P0-001-梦舟舱内三座布局;BY-SCN-P0-005-梦舟环月工作位;BY-VEH-P0-001-梦舟载人飞船;BY-VEH-P0-002-揽月完整构型;BY-VEH-P0-003-揽月登月舱,BY-VOI-P0-001-杨凛声音;BY-VOI-P0-002-陈砚声音;BY-VOI-P0-003-刘定槎声音,BY-REL-P1-003-声音来源真实性;BY-SND-P0-001-舱内生命保障与设备底噪,,阶段1映射完成｜阶段2B按镜头状态调用,三名乘员均在梦舟；不虚构揽月内有人。
009,02,环月对接,00:01:10–00:01:17,7,双器侧向／视觉重建,两器沿对接轴线缓慢闭合，姿控喷气短促且克制；角落标注：基于实时遥测的视觉重建。,遥测视觉重建｜角标常驻,C｜显式遥测视觉重建,BY-PRP-P1-005-两器舱门与对接锁止结果件;BY-REL-P1-007-摄影来源证据层级;BY-VFX-P1-002-环月轨道交会与对接;BY-VFX-P1-004-姿控喷流;BY-VFX-P1-008-遥测视觉重建合成,,BY-REL-P1-003-声音来源真实性;BY-SND-P1-001-舱门对接机构结构传导,BY-SYM-P1-006-视觉重建来源标识,阶段1映射完成｜阶段2B按镜头状态调用,不指定未公开的主动／被动对接分工。
010,02,环月对接,00:01:17–00:01:24,7,对接口监视相机,目标十字线在二十米停泊点稳定，闭合速度降为零。,常规任务状态,A｜航天器／宇航服／月面真实任务机位推演,BY-PRP-P1-005-两器舱门与对接锁止结果件;BY-PRP-P1-015-航天器任务相机组;BY-REL-P1-007-摄影来源证据层级;BY-VFX-P1-002-环月轨道交会与对接,BY-VOI-P0-003-刘定槎声音;BY-VOI-P1-004-北京飞控主调度声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-001-舱门对接机构结构传导,,阶段1映射完成｜阶段2B按镜头状态调用,任务证据视角；不让记者或专家覆盖。
