旧生产资产ID,V1.2处置,新生产资产ID,原因
BY-CHR-P1-001-周明远,历史停用,,V1.2不出场
BY-CHR-P1-003-孙屹川,历史停用,,V1.2不出场
BY-CST-P1-003-周明远主播服装,历史停用,,随角色停用
BY-CST-P1-005-孙屹川专家服装,历史停用,,随角色停用
BY-VOI-P1-001-周明远声音,历史停用,,随角色停用
BY-VOI-P1-003-孙屹川声音,历史停用,,随角色停用
BY-SCN-P1-001-未来新闻演播室,历史停用,,V1.2不使用演播室
BY-SCN-P1-002-文昌发射场夜景,历史停用,,V1.2从月轨相遇起片，不含发射
BY-SCN-P1-004-北京飞控中心大厅,历史停用,,由P0新资产BY-SCN-P0-006替代
BY-LGT-P1-001-演播室中性直播光,历史停用,,随演播室停用
BY-LGT-P1-002-文昌夜间发射光,历史停用,,随发射场停用
BY-LGT-P0-003-月面固定太阳光,历史停用,,由明确承担天文偏差的BY-LGT-P0-004替代
BY-VEH-P1-001-长征十号揽月发射构型,历史停用,,V1.2不含发射
BY-VEH-P1-002-长征十号梦舟发射构型,历史停用,,V1.2不含发射
BY-VFX-P1-001-地球发射火焰与烟羽,历史停用,,V1.2不含发射
BY-SND-P2-001-新闻提示音,历史停用,,V1.2无新闻包装提示音且全片无配乐
BY-SYM-P1-002-新闻条与日期标牌系统,历史停用,,V1.2已取消新闻段落；日期与任务阶段信息由BY-SYM-P1-003承担
BY-REL-P0-004-刘定槎与两张空座椅,历史停用,,叙事关系失效；由BY-REL-P0-009替代
BY-SCN-P1-004-北京飞控中心大厅,升级并替代,BY-SCN-P0-006-北京飞控大厅与任务主屏,V1.2贯穿关键节点，升级为P0
BY-LGT-P0-003-月面固定太阳光,语义失效并替代,BY-LGT-P0-004-月面艺术化任务日光,保留日期并显式承担天文偏差
BY-REL-P0-004-刘定槎与两张空座椅,叙事关系失效并替代,BY-REL-P0-009-梦舟三座返航承载与环月工作位,空座椅仅等待乘组归位
