原生产资产ID,V1.3.1处置,现生产资产ID,原因,影响镜号
BY-CHR-P1-001-周明远,历史停用,,V1.2不出场,历史继承
BY-CHR-P1-003-孙屹川,历史停用,,V1.2不出场,历史继承
BY-CST-P1-003-周明远主播服装,历史停用,,随角色停用,历史继承
BY-CST-P1-005-孙屹川专家服装,历史停用,,随角色停用,历史继承
BY-VOI-P1-001-周明远声音,历史停用,,随角色停用,历史继承
BY-VOI-P1-003-孙屹川声音,历史停用,,随角色停用,历史继承
BY-SCN-P1-001-未来新闻演播室,历史停用,,V1.2不使用演播室,历史继承
BY-SCN-P1-002-文昌发射场夜景,历史停用,,V1.2从月轨相遇起片，不含发射,历史继承
BY-SCN-P1-004-北京飞控中心大厅,历史停用,,由P0新资产BY-SCN-P0-006替代,历史继承
BY-LGT-P1-001-演播室中性直播光,历史停用,,随演播室停用,历史继承
BY-LGT-P1-002-文昌夜间发射光,历史停用,,随发射场停用,历史继承
BY-LGT-P0-003-月面固定太阳光,历史停用,,由明确承担天文偏差的BY-LGT-P0-004替代,历史继承
BY-VEH-P1-001-长征十号揽月发射构型,历史停用,,V1.2不含发射,历史继承
BY-VEH-P1-002-长征十号梦舟发射构型,历史停用,,V1.2不含发射,历史继承
BY-VFX-P1-001-地球发射火焰与烟羽,历史停用,,V1.2不含发射,历史继承
BY-SND-P2-001-新闻提示音,历史停用,,V1.2无新闻包装提示音且全片无配乐,历史继承
BY-SYM-P1-002-新闻条与日期标牌系统,历史停用,,V1.2已取消新闻段落；日期与任务阶段信息由BY-SYM-P1-003承担,历史继承
BY-REL-P0-004-刘定槎与两张空座椅,历史停用,,叙事关系失效；由BY-REL-P0-009替代,历史继承
BY-SCN-P1-004-北京飞控中心大厅,升级并替代,BY-SCN-P0-006-北京飞控大厅与任务主屏,V1.2贯穿关键节点，升级为P0,历史继承
BY-LGT-P0-003-月面固定太阳光,语义失效并替代,BY-LGT-P0-004-月面艺术化任务日光,保留日期并显式承担天文偏差,历史继承
BY-REL-P0-004-刘定槎与两张空座椅,叙事关系失效并替代,BY-REL-P0-009-梦舟三座返航承载与环月工作位,空座椅仅等待乘组归位,历史继承
BY-SCN-P0-001-梦舟舱内三座布局,语义扩展,BY-SCN-P0-001-梦舟舱内三座布局,四种乘员状态共用同一舱体几何,005;008;012;017;019;025;082;086;097—109
BY-SCN-P0-005-梦舟环月工作位,语义扩展,BY-SCN-P0-005-梦舟环月工作位,明确单人值守与两座空置关系,019;025;082
BY-SCN-P0-008-预定着陆区与搜救现场,正式锁定,BY-SCN-P0-008-预定着陆区与搜救现场,主着陆场改为并锁定东风着陆场,094;104;107—118
BY-LGT-P1-007-搜救着陆区日间自然光,语义校正,BY-LGT-P1-007-搜救着陆区日间自然光,脚本为黎明至清晨，不再写笼统日间,107—118
BY-PRP-P0-003-便携式月面摄像机,状态扩展,BY-PRP-P0-003-便携式月面摄像机,同一相机从部署连续复用到起飞空镜,060—061;063—064;069;076;081
