"场景生产资产ID","场景名称","视图ID前缀","视图需求等级建议","建议原因","母图是否必需","指定必需视图","建议补充视图","是否建议标准五视图","阶段3可能追加专项视图","用户确认等级","用户确认视图清单","用户确认视图ID清单","确认状态","备注"
"BY-SCN-P1-001-未来新闻演播室","未来新闻演播室","BY-SCN-P1-001-未来新闻演播室-V","SV1","同一空间需要主播正面、双人专家位和大屏关系","是","MASTER;FRONT;RIGHT45;SCREEN","","否","主播近景;专家近景;大屏局部","SV1","MASTER;FRONT;RIGHT45;SCREEN","BY-SCN-P1-001-未来新闻演播室-V-MASTER;BY-SCN-P1-001-未来新闻演播室-V-FRONT;BY-SCN-P1-001-未来新闻演播室-V-RIGHT45;BY-SCN-P1-001-未来新闻演播室-V-SCREEN","已确认","所有可读文字后期添加;2026-07-14主创确认"
"BY-SCN-P1-002-文昌发射场夜景","文昌发射场夜景","BY-SCN-P1-002-文昌发射场夜景-V","SV1","两次发射需要低机位、远景和喷焰匹配剪辑","是","MASTER;PAD-WIDE;LOW","ENGINE-DETAIL","否","塔架局部;喷焰局部","SV1","MASTER;PAD-WIDE;LOW;ENGINE-DETAIL","BY-SCN-P1-002-文昌发射场夜景-V-MASTER;BY-SCN-P1-002-文昌发射场夜景-V-PAD-WIDE;BY-SCN-P1-002-文昌发射场夜景-V-LOW;BY-SCN-P1-002-文昌发射场夜景-V-ENGINE-DETAIL","已确认","两次发射共用空间母图并区分载荷构型;2026-07-14主创确认"
"BY-SCN-P1-003-飞控中心媒体区","飞控中心媒体区","BY-SCN-P1-003-飞控中心媒体区-V","SV0","只从记者正面方向使用且不发生反打","是","MASTER","","否","记者近景;背景屏局部","SV0","MASTER","BY-SCN-P1-003-飞控中心媒体区-V-MASTER","已确认","背景屏文字后期添加;2026-07-14主创确认"
"BY-SCN-P0-001-梦舟舱内三座布局","梦舟舱内三座布局","BY-SCN-P0-001-梦舟舱内三座布局-V","SV2","三人座位、两张空座椅、返程重聚和多方向任务操作贯穿全片","是","FRONT;BACK;LEFT;RIGHT;TOP","MASTER","是","座椅局部;操作区低机位;刘定槎与空座椅关系镜","SV2","FRONT;BACK;LEFT;RIGHT;TOP;MASTER","BY-SCN-P0-001-梦舟舱内三座布局-V-FRONT;BY-SCN-P0-001-梦舟舱内三座布局-V-BACK;BY-SCN-P0-001-梦舟舱内三座布局-V-LEFT;BY-SCN-P0-001-梦舟舱内三座布局-V-RIGHT;BY-SCN-P0-001-梦舟舱内三座布局-V-TOP;BY-SCN-P0-001-梦舟舱内三座布局-V-MASTER","已确认","五视图必须共享三座椅与对接通道坐标;2026-07-14主创确认"
"BY-SCN-P0-002-梦舟对接通道与舱门区","梦舟对接通道与舱门区","BY-SCN-P0-002-梦舟对接通道与舱门区-V","SV1","人员转移和两次分离需要沿轴线双向观察","是","MASTER;AXIS-DREAM;AXIS-LANYUE;SIDE","","否","容器交接局部;舱门锁止局部","SV1","MASTER;AXIS-DREAM;AXIS-LANYUE;SIDE","BY-SCN-P0-002-梦舟对接通道与舱门区-V-MASTER;BY-SCN-P0-002-梦舟对接通道与舱门区-V-AXIS-DREAM;BY-SCN-P0-002-梦舟对接通道与舱门区-V-AXIS-LANYUE;BY-SCN-P0-002-梦舟对接通道与舱门区-V-SIDE","已确认","明确梦舟侧与揽月侧舱门;2026-07-14主创确认"
"BY-SCN-P0-003-揽月登月舱舱内","揽月登月舱舱内","BY-SCN-P0-003-揽月登月舱舱内-V","SV2","下降、着陆、EVA准备、起飞和交会需要复杂空间调度","是","FRONT;BACK;LEFT;RIGHT;TOP","MASTER","是","舱门内向外;载荷固定区;登月服固定区","SV2","FRONT;BACK;LEFT;RIGHT;TOP;MASTER","BY-SCN-P0-003-揽月登月舱舱内-V-FRONT;BY-SCN-P0-003-揽月登月舱舱内-V-BACK;BY-SCN-P0-003-揽月登月舱舱内-V-LEFT;BY-SCN-P0-003-揽月登月舱舱内-V-RIGHT;BY-SCN-P0-003-揽月登月舱舱内-V-TOP;BY-SCN-P0-003-揽月登月舱舱内-V-MASTER","已确认","五视图统一两座位、舱门和载荷区坐标;2026-07-14主创确认"
"BY-SCN-P1-004-北京飞控中心大厅","北京飞控中心大厅","BY-SCN-P1-004-北京飞控中心大厅-V","SV1","需要飞控群像、核心席和屏幕墙关系","是","MASTER;FRONT;FLOOR;CONSOLE","","否","眼神近景;手部局部;屏幕墙局部","SV1","MASTER;FRONT;FLOOR;CONSOLE","BY-SCN-P1-004-北京飞控中心大厅-V-MASTER;BY-SCN-P1-004-北京飞控中心大厅-V-FRONT;BY-SCN-P1-004-北京飞控中心大厅-V-FLOOR;BY-SCN-P1-004-北京飞控中心大厅-V-CONSOLE","已确认","界面文字与参数后期添加;2026-07-14主创确认"
"BY-SCN-P0-004-月面着陆与作业区","月面着陆与作业区","BY-SCN-P0-004-月面着陆与作业区-V","SV2","覆盖着陆、第一步、国旗、采样、科学设备和起飞，空间关系复杂且高复用","是","FRONT;BACK;LEFT;RIGHT;TOP","MASTER","是","舷梯低机位;登月靴极近景;摄像机固定机位;国旗区;羽流低机位","SV2","FRONT;BACK;LEFT;RIGHT;TOP;MASTER","BY-SCN-P0-004-月面着陆与作业区-V-FRONT;BY-SCN-P0-004-月面着陆与作业区-V-BACK;BY-SCN-P0-004-月面着陆与作业区-V-LEFT;BY-SCN-P0-004-月面着陆与作业区-V-RIGHT;BY-SCN-P0-004-月面着陆与作业区-V-TOP;BY-SCN-P0-004-月面着陆与作业区-V-MASTER","已确认","阶段2必须先锁定太阳方向和空间总图;2026-07-14主创确认"
"BY-SCN-P1-005-月面后段科考区","月面后段科考区","BY-SCN-P1-005-月面后段科考区-V","SV1","探索月球车需要行驶正侧关系和路线连续性","是","MASTER;PATH-FRONT;PATH-SIDE","PATH-TOP","否","车轮局部;驾驶位关系镜","SV1","MASTER;PATH-FRONT;PATH-SIDE;PATH-TOP","BY-SCN-P1-005-月面后段科考区-V-MASTER;BY-SCN-P1-005-月面后段科考区-V-PATH-FRONT;BY-SCN-P1-005-月面后段科考区-V-PATH-SIDE;BY-SCN-P1-005-月面后段科考区-V-PATH-TOP","已确认","继承主月面场景太阳方向但地貌需有差异;2026-07-14主创确认"
"BY-SCN-P1-006-环月轨道外部环境","环月轨道外部环境","BY-SCN-P1-006-环月轨道外部环境-V","SV1","两次交会、两次分离和月地转移需要统一月球弧面与太阳方向","是","MASTER;DOCK-AXIS;MOON-LIMB","SEPARATION","否","对接目标特写;服务舱点火外景","SV1","MASTER;DOCK-AXIS;MOON-LIMB;SEPARATION","BY-SCN-P1-006-环月轨道外部环境-V-MASTER;BY-SCN-P1-006-环月轨道外部环境-V-DOCK-AXIS;BY-SCN-P1-006-环月轨道外部环境-V-MOON-LIMB;BY-SCN-P1-006-环月轨道外部环境-V-SEPARATION","已确认","主要空间关系由载具资产和对接轴共同决定;2026-07-14主创确认"
