场景生产资产ID,场景名称,视图ID前缀,视图需求等级建议,建议原因,母图是否必需,指定必需视图,建议补充视图,是否建议标准五视图,阶段3可能追加专项视图,用户确认的视图需求等级,用户确认的视图清单,用户确认的场景视图ID清单,确认状态
BY-SCN-P0-001-梦舟舱内三座布局,梦舟返回舱三座承力区与四种乘员状态,BY-SCN-P0-001-梦舟舱内三座布局-V,SV1,局部母图只锁座椅／材料／控制关系,是,MASTER;SEAT-BACK;FULL-3;EMPTY-2;REUNION-3;REENTRY-3,CONTROL-LOCAL;SAMPLE-LOCK,否,ENTRY-GLOAD;LANDING-IMPACT,SV1,MASTER;SEAT-BACK;RETURN-THREE,BY-SCN-P0-001-梦舟舱内三座布局-V-MASTER;BY-SCN-P0-001-梦舟舱内三座布局-V-SEAT-BACK;BY-SCN-P0-001-梦舟舱内三座布局-V-RETURN-THREE,V1.3.1重校已确认
BY-SCN-P0-005-梦舟环月工作位,梦舟返回舱环月工作位,BY-SCN-P0-005-梦舟环月工作位-V,SV1,留守、目标捕获和再交会反复使用,是,MASTER;WORK-FRONT;WORK-OTS;SINGLE-OP,DISPLAY-LOCAL;EMPTY-SEAT,否,刘定槎操作手部;生命体征页面后期,SV1,MASTER;WORK-FRONT;WORK-OTS,BY-SCN-P0-005-梦舟环月工作位-V-MASTER;BY-SCN-P0-005-梦舟环月工作位-V-WORK-FRONT;BY-SCN-P0-005-梦舟环月工作位-V-WORK-OTS,V1.3.1重校已确认
BY-SCN-P0-002-梦舟对接通道与舱门区,梦舟—揽月轴向对接转移通道,BY-SCN-P0-002-梦舟对接通道与舱门区-V,SV1,两次转移需轴线双向和交接局部,是,MASTER;AXIS-DREAM;AXIS-LANYUE;TRANSFER,LOCK-LOCAL,否,样品转移架;舱门压差局部,SV1,MASTER;AXIS-DREAM;AXIS-LANYUE;TRANSFER,BY-SCN-P0-002-梦舟对接通道与舱门区-V-MASTER;BY-SCN-P0-002-梦舟对接通道与舱门区-V-AXIS-DREAM;BY-SCN-P0-002-梦舟对接通道与舱门区-V-AXIS-LANYUE;BY-SCN-P0-002-梦舟对接通道与舱门区-V-TRANSFER,已确认推荐口径
BY-SCN-P0-003-揽月登月舱舱内,揽月登月舱舱内,BY-SCN-P0-003-揽月登月舱舱内-V,SV2,下降、EVA、起飞和再交会状态复杂,是,MASTER;FRONT;BACK;LEFT;RIGHT;TOP,HATCH;LOAD-BAY,是,双人约束;登月服检查;样品固定,SV2,MASTER;FRONT;BACK;LEFT;RIGHT;TOP,BY-SCN-P0-003-揽月登月舱舱内-V-MASTER;BY-SCN-P0-003-揽月登月舱舱内-V-FRONT;BY-SCN-P0-003-揽月登月舱舱内-V-BACK;BY-SCN-P0-003-揽月登月舱舱内-V-LEFT;BY-SCN-P0-003-揽月登月舱舱内-V-RIGHT;BY-SCN-P0-003-揽月登月舱舱内-V-TOP,继承已确认
BY-SCN-P0-006-北京飞控大厅与任务主屏,北京飞控大厅与任务主屏,BY-SCN-P0-006-北京飞控大厅与任务主屏-V,SV1,多场复用但机位集中于大厅、主屏和核心席,是,MASTER;FLOOR;MAIN-SCREEN;CONSOLE,MEDIA-LINK,否,手部;眼神;状态闭合局部,SV1,MASTER;FLOOR;MAIN-SCREEN;CONSOLE,BY-SCN-P0-006-北京飞控大厅与任务主屏-V-MASTER;BY-SCN-P0-006-北京飞控大厅与任务主屏-V-FLOOR;BY-SCN-P0-006-北京飞控大厅与任务主屏-V-MAIN-SCREEN;BY-SCN-P0-006-北京飞控大厅与任务主屏-V-CONSOLE,已确认推荐口径
BY-SCN-P1-007-佳木斯66米深空测控站,佳木斯66米深空测控站,BY-SCN-P1-007-佳木斯66米深空测控站-V,SV1,需要天线长焦与值班工作区,是,MASTER;ANTENNA-LONG;OPS,SCREEN-LOCAL,否,天线结构局部,SV1,MASTER;ANTENNA-LONG;OPS,BY-SCN-P1-007-佳木斯66米深空测控站-V-MASTER;BY-SCN-P1-007-佳木斯66米深空测控站-V-ANTENNA-LONG;BY-SCN-P1-007-佳木斯66米深空测控站-V-OPS,已确认推荐口径
BY-SCN-P1-008-喀什35米深空测控站,喀什35米深空测控站,BY-SCN-P1-008-喀什35米深空测控站-V,SV1,需要与佳木斯可区分的天线跟踪状态,是,MASTER;ANTENNA-LONG;OPS,,否,双目标跟踪屏后期,SV1,MASTER;ANTENNA-LONG;OPS,BY-SCN-P1-008-喀什35米深空测控站-V-MASTER;BY-SCN-P1-008-喀什35米深空测控站-V-ANTENNA-LONG;BY-SCN-P1-008-喀什35米深空测控站-V-OPS,已确认推荐口径
BY-SCN-P1-009-VLBI测轨席,VLBI测轨席／天衡界面,BY-SCN-P1-009-VLBI测轨席-V,SV0,只作席位和界面局部切入,是,MASTER,CONSOLE,否,屏幕局部,SV0,MASTER,BY-SCN-P1-009-VLBI测轨席-V-MASTER,已确认推荐口径
BY-SCN-P1-010-北京飞控地质席,北京飞控地质席,BY-SCN-P1-010-北京飞控地质席-V,SV0,只用于地质席与月面分屏,是,MASTER,SPLIT-SCREEN,否,路线标注局部,SV0,MASTER,BY-SCN-P1-010-北京飞控地质席-V-MASTER,已确认推荐口径
BY-SCN-P1-003-飞控中心媒体区,飞控中心媒体区,BY-SCN-P1-003-飞控中心媒体区-V,SV1,记者正面单向使用,是,MASTER;REPORTER;EXPERT-PAIR;BIG-SCREEN,COUNTDOWN;FINAL,否,记者近景;背景屏局部,SV0,MASTER,BY-SCN-P1-003-飞控中心媒体区-V-MASTER,V1.3.1重校已确认
