镜号,场次,场名,时间码,景别／机位,画面动作摘要,所需视觉资产ID,所需人物音色ID,同步声音约束ID,后期文字／图形资产ID,资产状态,专业控制
001,1,月轨相遇,00:00–00:05,黑场／任务字幕,黑场后出现：2029年4月8日；月球轨道；载人登月任务交会段。字幕迅速淡出。,,,BY-SND-P0-002-地月无线电通信质感,BY-SYM-P0-002-艺术化光照偏差推演声明;BY-SYM-P1-001-未来纪实推演标识;BY-SYM-P1-003-任务阶段与时间跳跃标牌,V1.2提取已终审；待阶段2B设计与确认可调用,日期为项目艺术化锁定，不在画面中声称真实发射窗口。
002,1,月轨相遇,00:05–00:12,月轨大全景,月球弧面占画面下方，梦舟与揽月在远处同轨飞行，地球是细小蓝点。,BY-LGT-P1-004-环月轨道太阳光;BY-SCN-P1-006-环月轨道外部环境;BY-VEH-P0-002-揽月完整构型;BY-VEH-P0-005-梦舟月轨组合体,BY-VOI-P1-002-林知夏声音,,,V1.2提取已终审；待阶段2B设计与确认可调用,纪实远景；太阳方位暂不锁定，待日期光照问题决策。
003,1,月轨相遇,00:12–00:20,深空站外景／长焦,佳木斯深空测控站巨型天线缓慢跟踪，值班屏幕叠加两器轨道弧线。,BY-CRO-P1-002-深空测控值班团队;BY-LGT-P1-006-深空测控站任务光;BY-SCN-P1-007-佳木斯66米深空测控站,BY-VOI-P1-004-北京飞控主调度声音;BY-VOI-P1-005-林海深空测控声音,BY-SND-P0-002-地月无线电通信质感,BY-SYM-P1-004-任务轨迹与相位图模板,V1.2提取已终审；待阶段2B设计与确认可调用,建立地面系统，不把任务表现为乘组自说自话。
004,1,月轨相遇,00:20–00:28,梦舟舱内固定中景,刘定槎位于返回舱前上部紧凑工作位，前方是交会界面；后方两张座椅处于空置固定状态但不成为构图中心。,BY-CHR-P0-003-刘定槎;BY-CST-P0-003-刘定槎舱内飞行服;BY-LGT-P0-001-梦舟舱内任务光;BY-PRP-P0-001-梦舟三座椅与束缚系统;BY-PRP-P1-006-舱内操作界面与任务屏;BY-SCN-P0-001-梦舟舱内三座布局;BY-SCN-P0-005-梦舟环月工作位,BY-VOI-P0-003-刘定槎声音;BY-VOI-P1-009-小天任务智能体声音,BY-SND-P0-001-舱内生命保障与设备底噪;BY-SND-P0-002-地月无线电通信质感,BY-SYM-P1-004-任务轨迹与相位图模板,V1.2提取已终审；待阶段2B设计与确认可调用,返回舱内工作位为合理推演；不把服务舱画成载人舱室。
005,1,月轨相遇,00:28–00:40,揽月主观监视器／外景交叉,梦舟对接口在准星中逐渐放大；杨凛微调相对姿态，陈砚核对转移清单。,BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CST-P0-001-杨凛舱内飞行服;BY-CST-P0-002-陈砚舱内飞行服;BY-VEH-P0-002-揽月完整构型;BY-VEH-P0-005-梦舟月轨组合体;BY-VFX-P1-002-环月轨道交会与对接,BY-VOI-P0-001-杨凛声音;BY-VOI-P1-004-北京飞控主调度声音,BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-001-舱门对接机构结构传导,,V1.2提取已终审；待阶段2B设计与确认可调用,对接口采用轴向通道的功能表达，不虚构未公开细部机构。
006,2,环月对接,00:40–00:47,北京飞控广角,主屏显示相对距离、闭合速度和姿态误差；飞控席位安静报数。,BY-CRO-P1-001-北京飞控任务团队;BY-LGT-P1-003-飞控大厅任务光;BY-SCN-P0-006-北京飞控大厅与任务主屏,BY-VOI-P1-004-北京飞控主调度声音,BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-008-飞控与测控大厅底噪,BY-SYM-P1-004-任务轨迹与相位图模板,V1.2提取已终审；待阶段2B设计与确认可调用,不使用欢呼和煽情音乐。
007,2,环月对接,00:47–00:54,梦舟交会界面特写,刘定槎观察闭合速度曲线，手在中止键保护框旁待命。,BY-CHR-P0-003-刘定槎;BY-CST-P0-003-刘定槎舱内飞行服;BY-LGT-P0-001-梦舟舱内任务光;BY-PRP-P1-006-舱内操作界面与任务屏;BY-SCN-P0-005-梦舟环月工作位,BY-VOI-P0-003-刘定槎声音;BY-VOI-P1-009-小天任务智能体声音,BY-SND-P0-001-舱内生命保障与设备底噪;BY-SND-P0-002-地月无线电通信质感,BY-SYM-P1-004-任务轨迹与相位图模板,V1.2提取已终审；待阶段2B设计与确认可调用,AI只报融合结果，人工保留中止权。
008,2,环月对接,00:54–01:01,双器外景侧跟,揽月沿轴线缓慢接近，姿控喷气形成极淡羽流。,BY-LGT-P1-004-环月轨道太阳光;BY-SCN-P1-006-环月轨道外部环境;BY-VEH-P0-002-揽月完整构型;BY-VEH-P0-005-梦舟月轨组合体;BY-VFX-P1-002-环月轨道交会与对接;BY-VFX-P1-004-姿控喷流,,BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-001-舱门对接机构结构传导,,V1.2提取已终审；待阶段2B设计与确认可调用,外部喷流视觉克制，不配爆炸式音效。
009,2,环月对接,01:01–01:08,揽月舱内近景,杨凛看一眼陈砚，陈砚以手势确认物品固定。,BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CST-P0-001-杨凛舱内飞行服;BY-CST-P0-002-陈砚舱内飞行服;BY-LGT-P0-002-揽月下降任务光;BY-PRP-P1-006-舱内操作界面与任务屏;BY-SCN-P0-003-揽月登月舱舱内,BY-VOI-P0-001-杨凛声音;BY-VOI-P0-002-陈砚声音,BY-SND-P0-001-舱内生命保障与设备底噪;BY-SND-P0-002-地月无线电通信质感,,V1.2提取已终审；待阶段2B设计与确认可调用,人物交流任务化、短句化。
010,2,环月对接,01:08–01:15,对接口监视相机,两器在停泊点短暂停住，十字标线稳定后再次前进。,BY-LGT-P1-004-环月轨道太阳光;BY-SCN-P1-006-环月轨道外部环境;BY-VEH-P0-002-揽月完整构型;BY-VEH-P0-005-梦舟月轨组合体;BY-VFX-P1-002-环月轨道交会与对接,BY-VOI-P1-004-北京飞控主调度声音,BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-001-舱门对接机构结构传导,,V1.2提取已终审；待阶段2B设计与确认可调用,停泊点是安全节点，增加可看性而不制造故障。
