"生产资产ID","资产类型","资产名称","资产级别","剧本出处","关联场次或段落","基础描述","补全设计信息","状态变体","材质结构或声音特点","光影或环境要求","使用或生成需求","可复用范围","信息来源","确认状态","阶段2处理建议"
"BY-CHR-P0-001-杨凛","CHR","杨凛","P0","主要人物与岗位；全片镜头","01;03-13","乘组指令长，首次出舱与月面任务核心人物","建议38-45岁，精干体型，决策型气质，不绑定现实航天员脸","舱内飞行;望宇登月服;月尘状态","稳定骨相、低幅度表情、指令感","继承各场实际光源","剧照验证图、基础多视图、服装继承","全片","剧本明确;创作者建议","已确认","阶段2A首批人物测试"
"BY-CHR-P0-002-陈砚","CHR","陈砚","P0","主要人物与岗位；全片镜头","01;03-12","月面任务工程师，负责装备、采样与科学任务","建议32-40岁，精干灵活，操作型气质，不绑定现实航天员脸","舱内飞行;望宇登月服;月尘状态","敏锐眼神、手部操作明确","继承各场实际光源","剧照验证图、基础多视图、服装继承","全片","剧本明确;创作者建议","已确认","阶段2A／2B首批"
"BY-CHR-P0-003-刘定槎","CHR","刘定槎","P0","主要人物与岗位；空座椅母题","01;03-05;07;09-13","梦舟飞行工程师，留轨与返程视觉锚点","建议35-43岁，克制内收，不表现被动留守","发射;独处巡航;对接;返程","中低温润、耐心稳定的视觉气质","梦舟舱内任务光","剧照验证图、基础多视图、空座椅关系图","全片","剧本明确;创作者建议","已确认","阶段2A／2B首批"
"BY-CHR-P1-001-周明远","CHR","周明远","P1","主要人物与岗位；01-02场","01-02","未来特别报道新闻主播","建议38-48岁，权威克制，不绑定现实主播","主播台;双人专家位","真人新闻质感","演播室中性直播光","剧照验证图、半身与全身","01-02","剧本明确;创作者建议","已确认","新闻支持资产包"
"BY-CHR-P1-002-林知夏","CHR","林知夏","P1","主要人物与岗位；01场","01","飞控中心特派记者","建议28-38岁，清楚、有现场感，不绑定现实记者","记者直播","真人新闻质感","媒体区实用光","剧照验证图、半身与全身","01","剧本明确;创作者建议","已确认","新闻支持资产包"
"BY-CHR-P1-003-孙屹川","CHR","孙屹川","P1","主要人物与岗位；02场","02","着陆器系统专家","建议48-62岁，工程可信，不做科普网红气质","专家访谈","年长沉稳、表情克制","演播室中性直播光","剧照验证图、半身与全身","02","剧本明确;创作者建议","已确认","新闻支持资产包"
"BY-CST-P0-001-杨凛舱内飞行服","CST","杨凛舱内飞行服","P0","01;03-06;10-13场","01;03-06;10-13","未来中国载人舱内飞行服","适配梦舟与揽月座椅、约束带和操作区","头盔开启;头盔关闭;座椅约束","功能织物、接口、低反光结构","舱内实用光","人物服装基础资产","全片舱内","剧本明确;创作者建议","已确认","随杨凛基础人物制作"
"BY-CST-P0-002-陈砚舱内飞行服","CST","陈砚舱内飞行服","P0","01;03-06;10-12场","01;03-06;10-12","与杨凛同体系的舱内飞行服","尺寸和岗位细节可区分","头盔开启;头盔关闭;座椅约束","功能织物、接口、低反光结构","舱内实用光","人物服装基础资产","全片舱内","剧本明确;创作者建议","已确认","随陈砚基础人物制作"
"BY-CST-P0-003-刘定槎舱内飞行服","CST","刘定槎舱内飞行服","P0","01;03-05;07;09-13场","01;03-05;07;09-13","梦舟舱内飞行服","适配独处巡航、交会与返程","发射;巡航;对接;返程","功能织物、接口、低反光结构","梦舟舱内任务光","人物服装基础资产","全片梦舟舱内","剧本明确;创作者建议","已确认","随刘定槎基础人物制作"
"BY-CST-P0-004-杨凛望宇登月服","CST","杨凛望宇登月服","P0","06-10场","06-10","杨凛月面活动登月服","继承公开望宇方向并按功能补全，保持杨凛体型与岗位标识","清洁基础;轻度月尘","多层功能材料、头盔面窗、生命保障结构","月面固定太阳光","基础多视图、动作关节与舷梯尺度测试","06-10","项目锁定;公开资料;创作者建议","已确认","月面人物状态包"
"BY-CST-P0-005-陈砚望宇登月服","CST","陈砚望宇登月服","P0","06-10场","06-10","陈砚月面活动登月服","与杨凛同体系，建立可识别岗位差异","清洁基础;轻度月尘","多层功能材料、头盔面窗、生命保障结构","月面固定太阳光","基础多视图、工具操作与月球车乘坐测试","06-10","项目锁定;公开资料;创作者建议","已确认","月面人物状态包"
"BY-CST-P1-001-杨凛登月服轻度月尘状态","CST","杨凛登月服轻度月尘状态","P1","09-10场","09-10","EVA后真实月尘附着","靴底、小腿、手套和局部关节合理附着","轻度月尘","干燥细颗粒、无湿泥感","继承月面太阳光","基于确认登月服制作状态变体","09-10","剧本明确;合理推断","已确认采用","基础登月服确认后制作"
"BY-CST-P1-002-陈砚登月服轻度月尘状态","CST","陈砚登月服轻度月尘状态","P1","09-10场","09-10","EVA后月尘附着，工具接触区更明显","保持所有接口和人物体型","轻度月尘","干燥细颗粒、无湿泥感","继承月面太阳光","基于确认登月服制作状态变体","09-10","剧本明确;合理推断","已确认采用","基础登月服确认后制作"
"BY-CST-P1-003-周明远主播服装","CST","周明远主播服装","P1","01-02场","01-02","未来但克制的正式主播服装","不做科幻制服，色彩由阶段2A决定","基础","精纺面料、低反光","演播室直播光","人物定妆服装","01-02","创作者建议","已确认","阶段2A定色后制作"
"BY-CST-P1-004-林知夏记者服装","CST","林知夏记者服装","P1","01场","01","正式且适合媒体区工作的记者服装","与主播形成结构和色彩差异","基础","功能性正式面料","媒体区实用光","人物定妆服装","01","创作者建议","已确认","阶段2A定色后制作"
"BY-CST-P1-005-孙屹川专家服装","CST","孙屹川专家服装","P1","02场","02","工程专家正式着装","不使用实验室白大褂或夸张学者符号","基础","低反光正式面料","演播室直播光","人物定妆服装","02","创作者建议","已确认","阶段2A定色后制作"
"BY-VOI-P0-001-杨凛声音","VOI","杨凛稳定音色","P0","杨凛全部对白","01;03-13","中低、稳定、短句有明确落点","指令感但不压迫，呼吸节奏稳定","中性;任务报告","中低音域、偏慢语速","通过无线电时保留可懂度","独立制作稳定音色资产","全片","剧本明确;创作者建议","已确认","阶段2声音组首批"
"BY-VOI-P0-002-陈砚声音","VOI","陈砚稳定音色","P0","陈砚全部对白","01;03-12","中音、清楚、设备报告准确","尾音收束较快，与杨凛区分","中性;设备报告","中音域、中速","通过无线电时保留可懂度","独立制作稳定音色资产","全片","剧本明确;创作者建议","已确认","阶段2声音组首批"
"BY-VOI-P0-003-刘定槎声音","VOI","刘定槎稳定音色","P0","刘定槎全部对白","03-05;07;09-13","中低偏温润、克制","最后一句不煽情，与杨凛形成内收差异","中性;通信;返程","中低音域、中慢语速","梦舟舱内与无线电","独立制作稳定音色资产","全片","剧本明确;创作者建议","已确认","阶段2声音组首批"
"BY-VOI-P1-001-周明远声音","VOI","周明远稳定音色","P1","01-02场对白","01-02","权威清晰、不过度播音","重大新闻的克制感","新闻中性","中低音域、中速","演播室干净声音","独立制作稳定音色资产","01-02","剧本明确;创作者建议","已确认","新闻声音包"
"BY-VOI-P1-002-林知夏声音","VOI","林知夏稳定音色","P1","01场对白","01","清亮、专业、有现场感","比主播更轻更快","现场报道","中音域、中速","媒体区环境轻微进入","独立制作稳定音色资产","01","剧本明确;创作者建议","已确认","新闻声音包"
"BY-VOI-P1-003-孙屹川声音","VOI","孙屹川稳定音色","P1","02场对白","02","沉稳、精确、略年长","工程术语清楚，不教学腔","专家中性","中低音域、偏慢","演播室干净声音","独立制作稳定音色资产","02","剧本明确;创作者建议","已确认","新闻声音包"
"BY-VOI-P1-004-北京飞控主调度声音","VOI","北京飞控主调度稳定音色","P1","04;05;07;11;13场通信","04;05;07;11;13","中性权威、短促、无情绪渲染","与三名航天员明显区分","任务调度","中音域、中速","地月通信质感","独立制作稳定音色资产","飞控通信","剧本明确;创作者建议","已确认","阶段2声音组"
"BY-SCN-P1-001-未来新闻演播室","SCN","未来新闻演播室","P1","01-02场","01-02","主播台、专家双人位和后方大屏","克制未来感，文字后期添加","主播;专家访谈","建筑内装、屏幕、桌面","中性直播光","母图与SV1指定视图","01-02","剧本明确;创作者建议","已确认","按视图确认表制作"
"BY-SCN-P1-002-文昌发射场夜景","SCN","文昌发射场夜景","P1","01场两次发射","01","发射塔、箭体、安全区和夜景设施","两次发射共用空间母图","首发;第二次发射","金属塔架、混凝土地面、烟气","夜间照明与发动机火焰","母图、PAD-WIDE、LOW","01","剧本明确;公开资料;创作者建议","已确认","发射资产包"
"BY-SCN-P1-003-飞控中心媒体区","SCN","飞控中心媒体区","P1","01场记者直播","01","记者站位、任务屏和媒体工作区","不与主飞控大厅混淆","记者直播","办公内装、屏幕","顶部办公光、屏幕反射","母图SV0","01","剧本明确;创作者建议","已确认","新闻支持资产包"
"BY-SCN-P0-001-梦舟舱内三座布局","SCN","梦舟舱内三座布局","P0","01;03-05;09-13场","01;03-05;09-13","三座椅、操作区和对接通道方向","锁定座位归属、摄像机位和可活动区","三人;两张空座椅;重新坐满","舱内结构、座椅织物、低反光设备","梦舟舱内任务光","母图与SV2标准五视图","全片","剧本明确;创作者建议","已确认","阶段2A测试场景"
"BY-SCN-P0-002-梦舟对接通道与舱门区","SCN","梦舟对接通道与舱门区","P0","03;12-13场","03;12-13","梦舟侧舱门、揽月侧舱门、轴线通道与扶手","双向人员与样品转移尺度明确","首次关闭;重聚;最终分离","舱门、密封圈、扶手、内衬","两器舱内实用光","母图与轴线双向SV1","03;12-13","剧本明确;创作者建议","已确认","与揽月舱门统一设计"
