reference_id,local_filename,original_filename,width_px,height_px,size_bytes,sha256,source_status,ingest_date
BY-REF-PUB-20260719-001,BY-REF-PUB-20260719-001_梦舟揽月环月对接示意_媒体截图.png,微信图片_20260719203832_411_160.png,2868,1320,1670752,4B900BBF0A372A6E5AB359C6DADB3A7B615A76594B1A7391761B9E12EDB81335,公开截图-原始发布页链接待补,2026-07-19
BY-REF-PUB-20260719-002,BY-REF-PUB-20260719-002_揽月着陆起飞试验正面_媒体截图.png,微信图片_20260719203833_412_160.png,2868,1320,1501217,25C76A5715A96076C88A0B2CE82D809D1EA70B8E41068C17546DEC3885461B2E,公开截图-原始发布页链接待补,2026-07-19
BY-REF-PUB-20260719-003,BY-REF-PUB-20260719-003_揽月四发动机下降示意_媒体截图.png,微信图片_20260719203852_420_160.png,2868,1320,1944717,2388C54EC6D9B42CB4083C17231BAE66F74112D7349EF6100959594B44307A66,公开截图-原始发布页链接待补,2026-07-19
BY-REF-PUB-20260719-004,BY-REF-PUB-20260719-004_梦舟揽月两器对接构型_媒体截图.png,微信图片_20260719203440_403_160.png,1320,2868,2803447,EAAA0A06117DC254490AABDA3BB597F7824DE3C9FCB37C858FB98CD6357466EE,公开截图-原始发布页链接待补,2026-07-19
BY-REF-PUB-20260719-005,BY-REF-PUB-20260719-005_梦舟返回舱试验件外部防护_媒体截图.png,微信图片_20260719203450_405_160.png,1320,2868,3589390,8364779B07F687AEBDF1309EFF2E627CA7D98D2EFA1DC0775A6F7B9E40FEF493,公开截图-原始发布页链接待补,2026-07-19
BY-REF-PUB-20260719-006,BY-REF-PUB-20260719-006_揽月登月舱推进舱构型图_公开信息图截图.png,微信图片_20260719203812_408_160.png,1320,2868,4009024,57B56AFD2391795C09A424D8FFFEF6AEE16456F79B6EA48E6D133BDFF0ED4B92,公开截图-原始发布页链接待补,2026-07-19
BY-REF-PUB-20260719-007,BY-REF-PUB-20260719-007_揽月着陆起飞试验悬吊状态_媒体截图.png,微信图片_20260719203835_413_160.png,2868,1320,2688350,50A71A3E3C41D4F32F40A39C065AF78534283A2AA9C80818DDEB257C5ACFC7C2,公开截图-原始发布页链接待补,2026-07-19
BY-REF-PUB-20260719-008,BY-REF-PUB-20260719-008_揽月试验件发动机工作状态_媒体截图.png,微信图片_20260719203837_414_160.png,1320,2868,2167812,1FA7FE161EFDDB92610E6F691AE49A980301EE89295915ADB5BF6E4647F606A8,公开截图-原始发布页链接待补,2026-07-19
BY-REF-PUB-20260719-009,BY-REF-PUB-20260719-009_揽月舱门舷梯局部_媒体截图.png,微信图片_20260719203847_418_160.png,2868,1320,2327901,4C5C71E084EBA8C6D16325C0430B1963ACF29572E92BCFB7FBEF03C7F38CE223,公开截图-原始发布页链接待补,2026-07-19
BY-REF-PUB-20260719-010,BY-REF-PUB-20260719-010_揽月顶部接口与舱门舷梯_媒体截图.png,微信图片_20260719203839_415_160.png,1320,2868,3267849,D1FF88B07263478E8AD69BA7336F5E1EF8E5815D49CCD6EFE9C5B013663540FF,公开截图-原始发布页链接待补,2026-07-19
BY-REF-PUB-20260719-011,BY-REF-PUB-20260719-011_揽月着陆起飞试验夜间状态_媒体截图.png,微信图片_20260719203854_421_160.png,2868,1320,2245588,C1B4F61DD987D72493AB998B61771F1931912FC2B16F2132CD88CC478645748E,公开截图-原始发布页链接待补,2026-07-19
BY-REF-PUB-20260719-012,BY-REF-PUB-20260719-012_梦舟返回舱服务舱构型图_公开信息图截图.png,微信图片_20260719203458_407_160.png,1320,2868,4295484,FA7F2EAFA408E7C4BD2A4371BBC1E127CEA2A6D78A708193583C1CC673C48E06,公开截图-原始发布页链接待补,2026-07-19
BY-REF-PUB-20260719-013,BY-REF-PUB-20260719-013_梦舟零高度逃逸试验构型_媒体截图.png,微信图片_20260719203829_410_160.png,1320,2868,4913043,5CA25AE5D1FE99C4FC5246858B2011E0870D123528E3628742F8FA8A29C4E649,公开截图-原始发布页链接待补,2026-07-19
