生产资产ID,资产类型,资产名称,资产级别,剧本出处,关联场次或段落,基础描述,补全设计信息,状态变体,材质结构或声音特点,光影或环境要求,使用或生成需求,可复用范围,信息来源,确认状态,阶段2处理建议
BY-CHR-P0-001-杨凛,CHR,杨凛,P0,V1.2逐镜映射见data/阶段1_114镜资产调用映射_V1.2.csv,"场1,2,3,4,5,6,7,8,9,10,12,13,16；镜005,009,015,016,023,029,032,036,040,043,044,046,047,048,049,051,052,054,057,059,060,064,066,067,069,070,071,073,082,086,090,094,112",乘组指令长，首次出舱与月面任务核心人物,建议38-45岁，精干体型，决策型气质，不绑定现实航天员脸,舱内飞行;望宇登月服;月尘状态,稳定骨相、低幅度表情、指令感,继承各场实际光源,剧照验证图、基础多视图、服装继承,全片,剧本明确;创作者建议,已确认,阶段2A首批人物测试
BY-CHR-P0-002-陈砚,CHR,陈砚,P0,V1.2逐镜映射见data/阶段1_114镜资产调用映射_V1.2.csv,"场1,2,3,4,5,6,7,8,9,10,12,13；镜005,009,014,015,016,023,029,036,040,043,044,046,048,052,054,057,059,060,062,064,066,067,068,069,070,071,073,082,090",月面任务工程师，负责装备、采样与科学任务,建议32-40岁，精干灵活，操作型气质，不绑定现实航天员脸,舱内飞行;望宇登月服;月尘状态,敏锐眼神、手部操作明确,继承各场实际光源,剧照验证图、基础多视图、服装继承,全片,剧本明确;创作者建议,已确认,阶段2A／2B首批
BY-CHR-P0-003-刘定槎,CHR,刘定槎,P0,V1.2逐镜映射见data/阶段1_114镜资产调用映射_V1.2.csv,"场1,2,3,9,11,12,13,14,15；镜004,007,013,015,016,018,063,079,081,086,090,094,100,101,103,106",梦舟飞行工程师，留轨与返程视觉锚点,建议35-43岁，克制内收，不表现被动留守,发射;独处巡航;对接;返程,中低温润、耐心稳定的视觉气质,梦舟舱内任务光,剧照验证图、基础多视图、空座椅关系图,全片,剧本明确;创作者建议,已确认,阶段2A／2B首批
BY-CHR-P1-001-周明远,CHR,周明远,P1,主要人物与岗位；01-02场,历史V1.1,未来特别报道新闻主播,建议38-48岁，权威克制，不绑定现实主播,主播台;双人专家位,真人新闻质感,演播室中性直播光,剧照验证图、半身与全身,01-02,剧本明确;创作者建议,历史停用（V1.2不调用）,V1.2不出场
BY-CHR-P1-002-林知夏,CHR,林知夏,P1,V1.2逐镜映射见data/阶段1_114镜资产调用映射_V1.2.csv,场8；镜056,飞控中心特派记者,建议28-38岁，清楚、有现场感，不绑定现实记者,记者直播,真人新闻质感,媒体区实用光,剧照验证图、半身与全身,01,剧本明确;创作者建议,已确认,新闻支持资产包
BY-CHR-P1-003-孙屹川,CHR,孙屹川,P1,主要人物与岗位；02场,历史V1.1,着陆器系统专家,建议48-62岁，工程可信，不做科普网红气质,专家访谈,年长沉稳、表情克制,演播室中性直播光,剧照验证图、半身与全身,02,剧本明确;创作者建议,历史停用（V1.2不调用）,V1.2不出场
BY-CST-P0-001-杨凛舱内飞行服,CST,杨凛舱内飞行服,P0,V1.2逐镜映射见data/阶段1_114镜资产调用映射_V1.2.csv,"场1,2,3,4,5,6,7,12,13,16；镜005,009,015,016,023,029,032,036,040,043,082,086,090,094,112",未来中国载人舱内飞行服,适配梦舟与揽月座椅、约束带和操作区,头盔开启;头盔关闭;座椅约束,功能织物、接口、低反光结构,舱内实用光,人物服装基础资产,全片舱内,剧本明确;创作者建议,已确认,随杨凛基础人物制作
BY-CST-P0-002-陈砚舱内飞行服,CST,陈砚舱内飞行服,P0,V1.2逐镜映射见data/阶段1_114镜资产调用映射_V1.2.csv,"场1,2,3,4,5,6,7,12,13；镜005,009,014,015,016,023,029,036,040,043,082,090",与杨凛同体系的舱内飞行服,尺寸和岗位细节可区分,头盔开启;头盔关闭;座椅约束,功能织物、接口、低反光结构,舱内实用光,人物服装基础资产,全片舱内,剧本明确;创作者建议,已确认,随陈砚基础人物制作
BY-CST-P0-003-刘定槎舱内飞行服,CST,刘定槎舱内飞行服,P0,V1.2逐镜映射见data/阶段1_114镜资产调用映射_V1.2.csv,"场1,2,3,9,11,12,13,14,15；镜004,007,013,015,016,018,063,079,081,086,090,094,100,101,103,106",梦舟舱内飞行服,适配独处巡航、交会与返程,发射;巡航;对接;返程,功能织物、接口、低反光结构,梦舟舱内任务光,人物服装基础资产,全片梦舟舱内,剧本明确;创作者建议,已确认,随刘定槎基础人物制作
BY-CST-P0-004-杨凛望宇登月服,CST,杨凛望宇登月服,P0,V1.2逐镜映射见data/阶段1_114镜资产调用映射_V1.2.csv,"场7,8,9,10；镜044,046,047,048,049,051,052,054,057,059,060,064,066,067,069,070,071,073",杨凛月面活动登月服,继承公开望宇方向并按功能补全，保持杨凛体型与岗位标识,清洁基础;轻度月尘,多层功能材料、头盔面窗、生命保障结构,月面固定太阳光,基础多视图、动作关节与舷梯尺度测试,06-10,项目锁定;公开资料;创作者建议,已确认,月面人物状态包
BY-CST-P0-005-陈砚望宇登月服,CST,陈砚望宇登月服,P0,V1.2逐镜映射见data/阶段1_114镜资产调用映射_V1.2.csv,"场7,8,9,10；镜044,046,048,052,054,057,059,060,062,064,066,067,068,069,070,071,073",陈砚月面活动登月服,与杨凛同体系，建立可识别岗位差异,清洁基础;轻度月尘,多层功能材料、头盔面窗、生命保障结构,月面固定太阳光,基础多视图、工具操作与月球车乘坐测试,06-10,项目锁定;公开资料;创作者建议,已确认,月面人物状态包
BY-CST-P1-001-杨凛登月服轻度月尘状态,CST,杨凛登月服轻度月尘状态,P1,V1.2逐镜映射见data/阶段1_114镜资产调用映射_V1.2.csv,"场13；镜090,091,094",EVA后真实月尘附着,靴底、小腿、手套和局部关节合理附着,轻度月尘,干燥细颗粒、无湿泥感,继承月面太阳光,基于确认登月服制作状态变体,09-10,剧本明确;合理推断,已确认采用,基础登月服确认后制作
BY-CST-P1-002-陈砚登月服轻度月尘状态,CST,陈砚登月服轻度月尘状态,P1,V1.2逐镜映射见data/阶段1_114镜资产调用映射_V1.2.csv,"场13；镜090,091,094",EVA后月尘附着，工具接触区更明显,保持所有接口和人物体型,轻度月尘,干燥细颗粒、无湿泥感,继承月面太阳光,基于确认登月服制作状态变体,09-10,剧本明确;合理推断,已确认采用,基础登月服确认后制作
BY-CST-P1-003-周明远主播服装,CST,周明远主播服装,P1,01-02场,历史V1.1,未来但克制的正式主播服装,不做科幻制服，色彩由阶段2A决定,基础,精纺面料、低反光,演播室直播光,人物定妆服装,01-02,创作者建议,历史停用（V1.2不调用）,随角色停用
BY-CST-P1-004-林知夏记者服装,CST,林知夏记者服装,P1,V1.2逐镜映射见data/阶段1_114镜资产调用映射_V1.2.csv,场8；镜056,正式且适合媒体区工作的记者服装,与主播形成结构和色彩差异,基础,功能性正式面料,媒体区实用光,人物定妆服装,01,创作者建议,已确认,阶段2A定色后制作
BY-CST-P1-005-孙屹川专家服装,CST,孙屹川专家服装,P1,02场,历史V1.1,工程专家正式着装,不使用实验室白大褂或夸张学者符号,基础,低反光正式面料,演播室直播光,人物定妆服装,02,创作者建议,历史停用（V1.2不调用）,随角色停用
BY-VOI-P0-001-杨凛声音,VOI,杨凛稳定音色,P0,V1.2逐镜映射见data/阶段1_114镜资产调用映射_V1.2.csv,"场1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16；镜005,009,011,015,019,020,023,025,027,032,036,038,040,044,046,048,050,052,054,061,064,066,069,073,074,076,078,086,087,091,096,101,103,112",中低、稳定、短句有明确落点,指令感但不压迫，呼吸节奏稳定,中性;任务报告,中低音域、偏慢语速,通过无线电时保留可懂度,独立制作稳定音色资产,全片,剧本明确;创作者建议,已确认,阶段2声音组首批
BY-VOI-P0-002-陈砚声音,VOI,陈砚稳定音色,P0,V1.2逐镜映射见data/阶段1_114镜资产调用映射_V1.2.csv,"场2,3,5,6,7,8,9,10,11,12,13；镜009,014,017,029,033,038,040,044,048,052,054,058,060,062,066,068,069,071,075,082,089,092",中音、清楚、设备报告准确,尾音收束较快，与杨凛区分,中性;设备报告,中音域、中速,通过无线电时保留可懂度,独立制作稳定音色资产,全片,剧本明确;创作者建议,已确认,阶段2声音组首批
BY-VOI-P0-003-刘定槎声音,VOI,刘定槎稳定音色,P0,V1.2逐镜映射见data/阶段1_114镜资产调用映射_V1.2.csv,"场1,2,3,4,9,11,12,13,14,15；镜004,007,011,013,015,016,018,019,020,063,079,081,084,085,086,087,089,090,092,098,102,108",中低偏温润、克制,最后一句不煽情，与杨凛形成内收差异,中性;通信;返程,中低音域、中慢语速,梦舟舱内与无线电,独立制作稳定音色资产,全片,剧本明确;创作者建议,已确认,阶段2声音组首批
BY-VOI-P1-001-周明远声音,VOI,周明远稳定音色,P1,01-02场对白,历史V1.1,权威清晰、不过度播音,重大新闻的克制感,新闻中性,中低音域、中速,演播室干净声音,独立制作稳定音色资产,01-02,剧本明确;创作者建议,历史停用（V1.2不调用）,随角色停用
BY-VOI-P1-002-林知夏声音,VOI,林知夏稳定音色,P1,V1.2逐镜映射见data/阶段1_114镜资产调用映射_V1.2.csv,"场1,6,8,15；镜002,042,056,105",清亮、专业、有现场感,比主播更轻更快,现场报道,中音域、中速,媒体区环境轻微进入,独立制作稳定音色资产,01,剧本明确;创作者建议,已确认,新闻声音包
BY-VOI-P1-003-孙屹川声音,VOI,孙屹川稳定音色,P1,02场对白,历史V1.1,沉稳、精确、略年长,工程术语清楚，不教学腔,专家中性,中低音域、偏慢,演播室干净声音,独立制作稳定音色资产,02,剧本明确;创作者建议,历史停用（V1.2不调用）,随角色停用
BY-VOI-P1-004-北京飞控主调度声音,VOI,北京飞控主调度稳定音色,P1,V1.2逐镜映射见data/阶段1_114镜资产调用映射_V1.2.csv,"场1,2,4,5,6,7,8,9,10,12,13,14,15,16；镜003,005,006,010,012,021,023,024,026,028,031,036,041,045,050,051,053,057,064,065,067,072,073,080,083,088,093,095,097,102,104,106,108,113",中性权威、短促、无情绪渲染,与三名航天员明显区分,任务调度,中音域、中速,地月通信质感,独立制作稳定音色资产,飞控通信,剧本明确;创作者建议,已确认,阶段2声音组
BY-SCN-P1-001-未来新闻演播室,SCN,未来新闻演播室,P1,01-02场,历史V1.1,主播台、专家双人位和后方大屏,克制未来感，文字后期添加,主播;专家访谈,建筑内装、屏幕、桌面,中性直播光,母图与SV1指定视图,01-02,剧本明确;创作者建议,历史停用（V1.2不调用）,V1.2不使用演播室
BY-SCN-P1-002-文昌发射场夜景,SCN,文昌发射场夜景,P1,01场两次发射,历史V1.1,发射塔、箭体、安全区和夜景设施,两次发射共用空间母图,首发;第二次发射,金属塔架、混凝土地面、烟气,夜间照明与发动机火焰,母图、PAD-WIDE、LOW,01,剧本明确;公开资料;创作者建议,历史停用（V1.2不调用）,V1.2从月轨相遇起片，不含发射
BY-SCN-P1-003-飞控中心媒体区,SCN,飞控中心媒体区,P1,V1.2逐镜映射见data/阶段1_114镜资产调用映射_V1.2.csv,场8；镜056,记者站位、任务屏和媒体工作区,不与主飞控大厅混淆,记者直播,办公内装、屏幕,顶部办公光、屏幕反射,母图SV0,01,剧本明确;创作者建议,已确认,新闻支持资产包
BY-SCN-P0-001-梦舟舱内三座布局,SCN,梦舟返回舱三座承力区,P0,V1.2逐镜映射见data/阶段1_114镜资产调用映射_V1.2.csv,"场1,3,13,14,15；镜004,015,090,094,101,103",返回舱内三张平行低位承力椅背、紧凑控制区和贴身弧形舱壁的局部空间。,只锁定当前母图可见的座椅／材料／控制关系；不在一张图中解释舱门、完整地板或通道。,三人返航承载；两座暂空；三人归位,舱内结构、座椅织物、低反光设备,梦舟舱内任务光,母图与SV2标准五视图,全片,剧本明确;创作者建议,已确认,保留V3.0局部母图方向；不得回灌梦舟舱内01—05失败图
BY-SCN-P0-002-梦舟对接通道与舱门区,SCN,梦舟—揽月轴向对接转移通道,P0,V1.2逐镜映射见data/阶段1_114镜资产调用映射_V1.2.csv,"场3,13；镜013,014,016,018,019,089,092",两器前向舱门连接后的紧凑轴向通道，用于物品、人员和样品两次转移。,双向人员与样品转移尺度明确,关闭；压差归零；双门开启；物品先行；人员转移；样品回传,舱门、密封圈、扶手、内衬,两器舱内实用光,母图与轴线双向SV1,03;12-13,剧本明确;创作者建议,已确认,作为独立场景母图验证，不与梦舟三座母图合并
BY-SCN-P0-003-揽月登月舱舱内,SCN,揽月登月舱舱内,P0,V1.2逐镜映射见data/阶段1_114镜资产调用映射_V1.2.csv,"场2,3,4,5,6,7,10,11,12；镜009,011,017,019,023,029,032,036,038,040,043,044,045,046,069,070,071,073,076,082",两座位、操作区、舱门、载荷与登月服固定区,空间需支持下降、EVA准备、起飞和对接,月轨交会；动力下降；着陆后；EVA准备／复压；月面起飞；再交会,舱内结构、低反光设备、功能织物,揽月下降任务光与开舱门月面反射,母图与SV2标准五视图,02-12,剧本明确;公开资料;创作者建议,已确认,按V1.2状态链复核原设计，再做必要视图
BY-SCN-P1-004-北京飞控中心大厅,SCN,北京飞控中心大厅,P1,03-05;07;11;13场,历史V1.1,核心飞控席、群像和屏幕墙,屏幕参数后期添加，岗位层级清楚,任务常态;触月确认;第一步;返程,办公内装、控制台、屏幕,冷色办公光与屏幕反射,母图与SV1指定视图,多场,剧本明确;创作者建议,历史停用（V1.2不调用）,由P0新资产BY-SCN-P0-006替代
BY-SCN-P0-004-月面着陆与作业区,SCN,月面着陆与作业区,P0,V1.2逐镜映射见data/阶段1_114镜资产调用映射_V1.2.csv,"场5,6,7,8,9,10,11；镜027,030,032,033,034,037,038,039,042,047,048,049,050,051,052,053,054,055,056,057,058,059,060,061,062,064,066,067,068,069,074,075",登月舱落点、舷梯、摄像机、国旗、采样、设备和羽流安全区,锁定空间总图、太阳方向和全部固定物位置,下降;着陆;第一步;国旗;科学;起飞,灰色月壤、岩石、无大气黑天空,继承BY-LGT-P0-004艺术化任务日光；黑天空、真空、深阴影、有限地表反射。,母图与SV2标准五视图,04-10,剧本明确;科学约束;创作者建议,已确认,旧母图只作构型候选；以艺术化光照口径重新校准MASTER
BY-SCN-P1-005-月面后段科考区,SCN,月面科学任务路线与采样点,P1,V1.2逐镜映射见data/阶段1_114镜资产调用映射_V1.2.csv,"场9；镜058,059,060,061,062,064,066,067",低起伏地形、行驶路线与车辙,与主作业区形成地貌差异但继承太阳方向,月球车卸载；第一采样点；接触带采样；载荷布设；返程闭环,灰色月壤、车辙、远近地形,继承月面固定太阳光,母图与SV1路径视图,09,剧本明确;创作者建议,已确认,与月面MASTER共用光向和地质材料，不另造独立天体环境
BY-SCN-P1-006-环月轨道外部环境,SCN,环月轨道外部环境,P1,V1.2逐镜映射见data/阶段1_114镜资产调用映射_V1.2.csv,"场1,2,4,11,12,13,14；镜002,008,010,011,020,021,024,025,078,084,085,087,093,095,096,098",月球弧面、黑色太空和两器相对空间,统一太阳方向、月球尺度和对接轴,交会;分离;月地转移,无空气环境、月球表面反照,硬太阳光与月球反射,环境母图与SV1基准视图,轨道外景,剧本明确;科学约束,已确认,轨道视觉重建包
BY-LGT-P1-001-演播室中性直播光,LGT,演播室中性直播光,P1,01-02场,历史V1.1,克制直播光，人物清楚不过度美容,大屏只提供有限反射,主播;专家,中性偏冷、低反差,演播室实用光,场景光影变体,01-02,创作者建议,历史停用（V1.2不调用）,随演播室停用
BY-LGT-P1-002-文昌夜间发射光,LGT,文昌夜间发射光,P1,01场,历史V1.1,发射场实用光叠加发动机火焰,地面烟气和塔架受光真实,点火前;点火后,高亮火焰、夜间工业照明,地球大气夜景,场景光影状态,01,剧本明确;科学约束,历史停用（V1.2不调用）,随发射场停用
BY-LGT-P0-001-梦舟舱内任务光,LGT,梦舟舱内任务光,P0,V1.2逐镜映射见data/阶段1_114镜资产调用映射_V1.2.csv,"场1,2,3,9,11,12,13,14,15；镜004,007,015,018,063,079,081,090,094,101,103",稳定舱内实用光和屏幕反射,三座椅、通道和脸部可读,发射;巡航;对接,中性偏冷、低反光,舱内封闭环境,做进场景母图,梦舟舱内,剧本明确;创作者建议,已确认,梦舟场景母图先锁定
BY-LGT-P0-002-揽月下降任务光,LGT,揽月下降任务光,P0,V1.2逐镜映射见data/阶段1_114镜资产调用映射_V1.2.csv,"场2,3,4,5,6,7,10,11,12；镜009,011,017,019,023,029,032,036,038,040,043,044,045,046,069,070,071,073,076,082",下降阶段稳定任务光,不使用危机红灯和无理由闪烁,下降;触月后,中性任务光、屏幕反射,揽月舱内,做进场景母图,揽月舱内,剧本明确;创作者建议,已确认,揽月场景母图先锁定
BY-LGT-P1-003-飞控大厅任务光,LGT,飞控大厅任务光,P1,V1.2逐镜映射见data/阶段1_114镜资产调用映射_V1.2.csv,"场2,4,5,6,8,10,11,12,14,15,16；镜006,012,022,028,031,035,041,053,072,077,083,088,097,104,107,113",冷色办公实用光和屏幕反射,群像层级清楚，不做舞台光,常态;着陆确认,冷色办公光,飞控大厅,做进场景母图,飞控场景,剧本明确;创作者建议,已确认采用,关联新P0北京飞控大厅资产
BY-LGT-P0-003-月面固定太阳光,LGT,月面固定太阳光,P0,04-10场,历史V1.1,单一硬太阳光、黑天空、深阴影和有限地表反射,阶段2锁定太阳方位和高度，全段不得翻转,下降;着陆;EVA;起飞,灰色月壤、硬阴影,高真空月面,做进月面场景母图,全部月面镜头,项目锁定;科学约束,历史停用（V1.2不调用）,由明确承担天文偏差的BY-LGT-P0-004替代
BY-LGT-P1-004-环月轨道太阳光,LGT,环月轨道太阳光,P1,V1.2逐镜映射见data/阶段1_114镜资产调用映射_V1.2.csv,"场1,2,4,11,12,13,14；镜002,008,010,011,020,021,024,025,078,084,085,087,093,095,096,098",硬太阳光与月球反射,对接轴和两器形体清楚,交会;分离;转移,无空气硬光,统一外部主光与月球反照；只保证跨镜连续，不声称日期天文复原。,做进轨道环境母图,轨道外景,科学约束,已确认采用,轨道视觉重建包
BY-LGT-P1-005-揽月开舱门月面反射,LGT,揽月开舱门月面反射,P1,V1.2逐镜映射见data/阶段1_114镜资产调用映射_V1.2.csv,"场7；镜047,048",舱内暗部与舱外硬光反差,门缝扩大但不HDR提亮所有暗部,舱门开启,硬光、低反射灰月面,揽月舱门与月面,独立光影状态测试,06,剧本明确;科学约束,已确认采用,揽月舱内光影变体
BY-VEH-P1-001-长征十号揽月发射构型,VEH,长征十号揽月发射构型,P1,01-02镜头,历史V1.1,首枚长征十号搭载揽月,公开结构范围内补全,发射前;点火;离架,箭体、整流罩、发动机,文昌夜间发射光,外部多角度与发射参考,01,剧本明确;公开资料,历史停用（V1.2不调用）,V1.2不含发射
BY-VEH-P1-002-长征十号梦舟发射构型,VEH,长征十号梦舟发射构型,P1,01-03镜头,历史V1.1,第二枚长征十号搭载梦舟与三人,与首发共用火箭体系，锁定载荷构型差异,发射前;点火;离架,箭体、整流罩、发动机,文昌夜间发射光,外部多角度与发射参考,01,剧本明确;公开资料,历史停用（V1.2不调用）,V1.2不含发射
BY-VEH-P0-001-梦舟载人飞船,VEH,梦舟载人飞船,P0,V1.2逐镜映射见data/阶段1_114镜资产调用映射_V1.2.csv,01;03;11;13,三人环月飞船，含返回舱、服务舱和对接口,以公开资料为上限，不宣称官方复原,交会;分离;月地转移,金属、隔热材料、低反光表面,环月轨道太阳光,外部多视图、对接轴视图,轨道场次,剧本明确;公开资料;创作者建议,已确认,P0航天器首批
BY-VEH-P0-002-揽月完整构型,VEH,揽月着陆器＋推进舱月轨组合体,P0,V1.2逐镜映射见data/阶段1_114镜资产调用映射_V1.2.csv,"场1,2,4；镜002,005,008,010,011,020,021,024,025",登月舱与推进舱组成的下降前构型,锁定两舱尺度和与梦舟对接关系,交会接近；对接；分离；降轨点火；推进舱任务完成,金属、隔热与推进结构,环月轨道太阳光,外部多视图与尺度图,下降前,剧本明确;公开资料,已确认,V1.2外部构型链首要验证资产
