场次编号,场名,镜号范围,镜头数,素材时长秒,所需视觉资产ID,所需人物音色ID,同步声音约束ID,后期文字／图形资产ID,阶段2B资产状态
01,直播一开场：两器即将对接,001—007,7,62,BY-ANM-P0-001-梦舟四种乘员状态;BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CHR-P0-003-刘定槎;BY-CHR-P1-002-林知夏;BY-CRO-P1-001-北京飞控任务团队;BY-CRO-P1-002-深空测控值班团队;BY-CST-P0-001-杨凛舱内飞行服;BY-CST-P0-002-陈砚舱内飞行服;BY-CST-P0-003-刘定槎舱内飞行服;BY-CST-P1-004-林知夏记者服装;BY-LGT-P0-001-梦舟舱内任务光;BY-LGT-P1-003-飞控大厅任务光;BY-LGT-P1-004-环月轨道太阳光;BY-LGT-P1-006-深空测控站任务光;BY-LGT-P1-008-飞控媒体区直播光;BY-PRP-P0-001-梦舟三座椅与束缚系统;BY-PRP-P1-005-两器舱门与对接锁止结果件;BY-PRP-P1-006-舱内操作界面与任务屏;BY-REL-P0-005-揽月构型状态链;BY-REL-P0-009-梦舟三座返航承载与环月工作位;BY-REL-P0-010-梦舟轴向转移顺序;BY-REL-P1-002-两侧舱门顺序;BY-REL-P1-004-地面测控接力链;BY-REL-P1-007-摄影来源证据层级;BY-REL-P1-008-三段直播结构链;BY-REL-P1-010-地月视觉尺度连续性;BY-SCN-P0-001-梦舟舱内三座布局;BY-SCN-P0-002-梦舟对接通道与舱门区;BY-SCN-P0-005-梦舟环月工作位;BY-SCN-P0-006-北京飞控大厅与任务主屏;BY-SCN-P1-003-飞控中心媒体区;BY-SCN-P1-006-环月轨道外部环境;BY-SCN-P1-007-佳木斯66米深空测控站;BY-VEH-P0-001-梦舟载人飞船;BY-VEH-P0-002-揽月完整构型;BY-VEH-P0-003-揽月登月舱;BY-VFX-P1-008-遥测视觉重建合成,BY-VOI-P0-001-杨凛声音;BY-VOI-P0-002-陈砚声音;BY-VOI-P0-003-刘定槎声音;BY-VOI-P1-002-林知夏声音;BY-VOI-P1-004-北京飞控主调度声音;BY-VOI-P1-005-林海深空测控声音,BY-REL-P1-003-声音来源真实性;BY-SND-P0-001-舱内生命保障与设备底噪;BY-SND-P1-001-舱门对接机构结构传导;BY-SND-P1-008-飞控与测控大厅底噪;BY-SND-P1-009-媒体区直播现场声,BY-SYM-P0-002-艺术化光照偏差推演声明;BY-SYM-P1-001-未来纪实推演标识;BY-SYM-P1-003-任务阶段与时间跳跃标牌;BY-SYM-P1-004-任务轨迹与相位图模板;BY-SYM-P1-006-视觉重建来源标识;BY-SYM-P1-007-直播进口出口与倒计时,可进入阶段2B｜优先按场次资产包生产
02,环月对接,008—015,8,60,BY-ANM-P0-001-梦舟四种乘员状态;BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CHR-P0-003-刘定槎;BY-CRO-P1-001-北京飞控任务团队;BY-CST-P0-001-杨凛舱内飞行服;BY-CST-P0-002-陈砚舱内飞行服;BY-CST-P0-003-刘定槎舱内飞行服;BY-LGT-P0-001-梦舟舱内任务光;BY-LGT-P1-003-飞控大厅任务光;BY-PRP-P0-001-梦舟三座椅与束缚系统;BY-PRP-P1-005-两器舱门与对接锁止结果件;BY-PRP-P1-006-舱内操作界面与任务屏;BY-PRP-P1-015-航天器任务相机组;BY-REL-P0-005-揽月构型状态链;BY-REL-P0-009-梦舟三座返航承载与环月工作位;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P0-001-梦舟舱内三座布局;BY-SCN-P0-005-梦舟环月工作位;BY-SCN-P0-006-北京飞控大厅与任务主屏;BY-VEH-P0-001-梦舟载人飞船;BY-VEH-P0-002-揽月完整构型;BY-VEH-P0-003-揽月登月舱;BY-VFX-P1-002-环月轨道交会与对接;BY-VFX-P1-004-姿控喷流;BY-VFX-P1-008-遥测视觉重建合成,BY-VOI-P0-001-杨凛声音;BY-VOI-P0-002-陈砚声音;BY-VOI-P0-003-刘定槎声音;BY-VOI-P1-004-北京飞控主调度声音,BY-REL-P1-003-声音来源真实性;BY-SND-P0-001-舱内生命保障与设备底噪;BY-SND-P1-001-舱门对接机构结构传导;BY-SND-P1-008-飞控与测控大厅底噪,BY-SYM-P1-006-视觉重建来源标识,可进入阶段2B｜优先按场次资产包生产
03,人员转移与直播一结束,016—022,7,58,BY-ANM-P0-001-梦舟四种乘员状态;BY-ANM-P0-002-揽月下降出舱起飞链;BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CHR-P0-003-刘定槎;BY-CHR-P1-002-林知夏;BY-CHR-P1-004-何文澜;BY-CST-P0-001-杨凛舱内飞行服;BY-CST-P0-002-陈砚舱内飞行服;BY-CST-P0-003-刘定槎舱内飞行服;BY-CST-P1-004-林知夏记者服装;BY-CST-P1-006-何文澜专家服装;BY-LGT-P0-001-梦舟舱内任务光;BY-LGT-P0-002-揽月下降任务光;BY-LGT-P0-004-月面艺术化任务日光;BY-LGT-P1-004-环月轨道太阳光;BY-LGT-P1-008-飞控媒体区直播光;BY-PRP-P0-001-梦舟三座椅与束缚系统;BY-PRP-P1-005-两器舱门与对接锁止结果件;BY-PRP-P1-006-舱内操作界面与任务屏;BY-REL-P0-005-揽月构型状态链;BY-REL-P0-009-梦舟三座返航承载与环月工作位;BY-REL-P0-010-梦舟轴向转移顺序;BY-REL-P0-012-月面艺术化光照与声明;BY-REL-P1-001-月面空间总图;BY-REL-P1-002-两侧舱门顺序;BY-REL-P1-007-摄影来源证据层级;BY-REL-P1-008-三段直播结构链;BY-REL-P1-010-地月视觉尺度连续性;BY-SCN-P0-001-梦舟舱内三座布局;BY-SCN-P0-002-梦舟对接通道与舱门区;BY-SCN-P0-003-揽月登月舱舱内;BY-SCN-P0-004-月面着陆与作业区;BY-SCN-P0-005-梦舟环月工作位;BY-SCN-P1-003-飞控中心媒体区;BY-SCN-P1-006-环月轨道外部环境;BY-VEH-P0-001-梦舟载人飞船;BY-VEH-P0-002-揽月完整构型;BY-VEH-P0-003-揽月登月舱;BY-VFX-P1-002-环月轨道交会与对接,BY-VOI-P0-001-杨凛声音;BY-VOI-P0-003-刘定槎声音;BY-VOI-P1-002-林知夏声音;BY-VOI-P1-012-何文澜声音,BY-REL-P1-003-声音来源真实性;BY-SND-P0-001-舱内生命保障与设备底噪;BY-SND-P1-001-舱门对接机构结构传导;BY-SND-P1-003-发动机舱内结构振动;BY-SND-P1-009-媒体区直播现场声,BY-SYM-P1-007-直播进口出口与倒计时,可进入阶段2B｜优先按场次资产包生产
04,时间跨越,023—023,1,12,BY-LGT-P0-004-月面艺术化任务日光;BY-LGT-P1-004-环月轨道太阳光;BY-PRP-P1-005-两器舱门与对接锁止结果件;BY-REL-P0-005-揽月构型状态链;BY-REL-P0-010-梦舟轴向转移顺序;BY-REL-P0-012-月面艺术化光照与声明;BY-REL-P1-001-月面空间总图;BY-REL-P1-002-两侧舱门顺序;BY-REL-P1-007-摄影来源证据层级;BY-REL-P1-010-地月视觉尺度连续性;BY-SCN-P0-002-梦舟对接通道与舱门区;BY-SCN-P0-004-月面着陆与作业区;BY-SCN-P1-006-环月轨道外部环境;BY-VEH-P0-001-梦舟载人飞船;BY-VEH-P0-002-揽月完整构型;BY-VEH-P0-003-揽月登月舱;BY-VFX-P1-002-环月轨道交会与对接;BY-VFX-P1-008-遥测视觉重建合成,,BY-REL-P1-003-声音来源真实性;BY-SND-P1-001-舱门对接机构结构传导;BY-SND-P1-003-发动机舱内结构振动,BY-SYM-P1-003-任务阶段与时间跳跃标牌;BY-SYM-P1-006-视觉重建来源标识,可进入阶段2B｜优先按场次资产包生产
05,直播二开场：揽月脱离,024—031,8,62,BY-ANM-P0-001-梦舟四种乘员状态;BY-ANM-P0-002-揽月下降出舱起飞链;BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CHR-P0-003-刘定槎;BY-CHR-P1-002-林知夏;BY-CRO-P1-001-北京飞控任务团队;BY-CST-P0-001-杨凛舱内飞行服;BY-CST-P0-002-陈砚舱内飞行服;BY-CST-P0-003-刘定槎舱内飞行服;BY-CST-P1-004-林知夏记者服装;BY-LGT-P0-001-梦舟舱内任务光;BY-LGT-P0-002-揽月下降任务光;BY-LGT-P0-004-月面艺术化任务日光;BY-LGT-P1-003-飞控大厅任务光;BY-LGT-P1-004-环月轨道太阳光;BY-LGT-P1-008-飞控媒体区直播光;BY-PRP-P0-001-梦舟三座椅与束缚系统;BY-PRP-P1-005-两器舱门与对接锁止结果件;BY-PRP-P1-006-舱内操作界面与任务屏;BY-PRP-P1-015-航天器任务相机组;BY-REL-P0-005-揽月构型状态链;BY-REL-P0-009-梦舟三座返航承载与环月工作位;BY-REL-P0-012-月面艺术化光照与声明;BY-REL-P1-001-月面空间总图;BY-REL-P1-007-摄影来源证据层级;BY-REL-P1-008-三段直播结构链;BY-REL-P1-010-地月视觉尺度连续性;BY-SCN-P0-001-梦舟舱内三座布局;BY-SCN-P0-003-揽月登月舱舱内;BY-SCN-P0-004-月面着陆与作业区;BY-SCN-P0-005-梦舟环月工作位;BY-SCN-P0-006-北京飞控大厅与任务主屏;BY-SCN-P1-003-飞控中心媒体区;BY-SCN-P1-006-环月轨道外部环境;BY-VEH-P0-001-梦舟载人飞船;BY-VEH-P0-002-揽月完整构型;BY-VEH-P0-003-揽月登月舱;BY-VFX-P1-002-环月轨道交会与对接;BY-VFX-P1-008-遥测视觉重建合成,BY-VOI-P0-001-杨凛声音;BY-VOI-P0-002-陈砚声音;BY-VOI-P0-003-刘定槎声音;BY-VOI-P1-002-林知夏声音;BY-VOI-P1-004-北京飞控主调度声音,BY-REL-P1-003-声音来源真实性;BY-SND-P0-001-舱内生命保障与设备底噪;BY-SND-P1-001-舱门对接机构结构传导;BY-SND-P1-003-发动机舱内结构振动;BY-SND-P1-008-飞控与测控大厅底噪;BY-SND-P1-009-媒体区直播现场声,BY-SYM-P1-004-任务轨迹与相位图模板;BY-SYM-P1-006-视觉重建来源标识;BY-SYM-P1-007-直播进口出口与倒计时,可进入阶段2B｜优先按场次资产包生产
06,动力下降,032—042,11,90,BY-ANM-P0-002-揽月下降出舱起飞链;BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CHR-P1-002-林知夏;BY-CHR-P1-005-孙亦川;BY-CRO-P1-001-北京飞控任务团队;BY-CST-P0-001-杨凛舱内飞行服;BY-CST-P0-002-陈砚舱内飞行服;BY-CST-P1-004-林知夏记者服装;BY-CST-P1-007-孙亦川专家服装;BY-LGT-P0-002-揽月下降任务光;BY-LGT-P0-004-月面艺术化任务日光;BY-LGT-P1-003-飞控大厅任务光;BY-LGT-P1-008-飞控媒体区直播光;BY-PRP-P1-006-舱内操作界面与任务屏;BY-PRP-P1-015-航天器任务相机组;BY-REL-P0-005-揽月构型状态链;BY-REL-P0-012-月面艺术化光照与声明;BY-REL-P1-001-月面空间总图;BY-REL-P1-007-摄影来源证据层级;BY-REL-P1-008-三段直播结构链;BY-SCN-P0-003-揽月登月舱舱内;BY-SCN-P0-004-月面着陆与作业区;BY-SCN-P0-006-北京飞控大厅与任务主屏;BY-SCN-P1-003-飞控中心媒体区;BY-VEH-P0-002-揽月完整构型;BY-VEH-P0-003-揽月登月舱;BY-VEH-P1-003-揽月推进舱分离状态;BY-VFX-P0-001-月面下降羽流与贴地月尘;BY-VFX-P1-008-遥测视觉重建合成,BY-VOI-P0-001-杨凛声音;BY-VOI-P0-002-陈砚声音;BY-VOI-P1-004-北京飞控主调度声音;BY-VOI-P1-005-林海深空测控声音;BY-VOI-P1-009-小天任务智能体声音;BY-VOI-P1-013-孙亦川声音,BY-REL-P1-003-声音来源真实性;BY-SND-P0-001-舱内生命保障与设备底噪;BY-SND-P1-003-发动机舱内结构振动;BY-SND-P1-008-飞控与测控大厅底噪;BY-SND-P1-009-媒体区直播现场声,BY-SYM-P1-004-任务轨迹与相位图模板;BY-SYM-P1-006-视觉重建来源标识;BY-SYM-P1-007-直播进口出口与倒计时,可进入阶段2B｜优先按场次资产包生产
07,着陆确认与六小时出舱准备,043—050,8,65,BY-ANM-P0-002-揽月下降出舱起飞链;BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CHR-P1-002-林知夏;BY-CHR-P1-004-何文澜;BY-CRO-P1-001-北京飞控任务团队;BY-CST-P1-004-林知夏记者服装;BY-CST-P1-006-何文澜专家服装;BY-LGT-P0-002-揽月下降任务光;BY-LGT-P0-004-月面艺术化任务日光;BY-LGT-P1-003-飞控大厅任务光;BY-LGT-P1-008-飞控媒体区直播光;BY-PRP-P1-006-舱内操作界面与任务屏;BY-PRP-P1-015-航天器任务相机组;BY-REL-P0-005-揽月构型状态链;BY-REL-P0-012-月面艺术化光照与声明;BY-REL-P1-001-月面空间总图;BY-REL-P1-007-摄影来源证据层级;BY-REL-P1-008-三段直播结构链;BY-SCN-P0-003-揽月登月舱舱内;BY-SCN-P0-004-月面着陆与作业区;BY-SCN-P0-006-北京飞控大厅与任务主屏;BY-SCN-P1-003-飞控中心媒体区;BY-VEH-P0-003-揽月登月舱;BY-VFX-P0-001-月面下降羽流与贴地月尘;BY-VFX-P0-002-触月关机与月尘回落;BY-VFX-P1-008-遥测视觉重建合成,BY-VOI-P0-001-杨凛声音;BY-VOI-P0-002-陈砚声音;BY-VOI-P1-002-林知夏声音;BY-VOI-P1-004-北京飞控主调度声音;BY-VOI-P1-012-何文澜声音,BY-REL-P1-003-声音来源真实性;BY-SND-P0-001-舱内生命保障与设备底噪;BY-SND-P1-003-发动机舱内结构振动;BY-SND-P1-008-飞控与测控大厅底噪;BY-SND-P1-009-媒体区直播现场声,BY-SYM-P1-003-任务阶段与时间跳跃标牌;BY-SYM-P1-006-视觉重建来源标识;BY-SYM-P1-007-直播进口出口与倒计时,可进入阶段2B｜优先按场次资产包生产
08,出舱与中国航天员首次踏上月面,051—060,10,82,BY-ANM-P0-002-揽月下降出舱起飞链;BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CHR-P0-003-刘定槎;BY-CHR-P1-002-林知夏;BY-CRO-P1-001-北京飞控任务团队;BY-CST-P0-001-杨凛舱内飞行服;BY-CST-P0-002-陈砚舱内飞行服;BY-CST-P0-003-刘定槎舱内飞行服;BY-CST-P0-004-杨凛望宇登月服;BY-CST-P0-005-陈砚望宇登月服;BY-CST-P1-004-林知夏记者服装;BY-LGT-P0-002-揽月下降任务光;BY-LGT-P0-004-月面艺术化任务日光;BY-LGT-P1-003-飞控大厅任务光;BY-LGT-P1-008-飞控媒体区直播光;BY-PRP-P0-002-揽月舷梯与扶手系统;BY-PRP-P0-003-便携式月面摄像机;BY-PRP-P1-004-月面工具包与载荷固定系统;BY-PRP-P1-006-舱内操作界面与任务屏;BY-PRP-P1-014-宇航服任务相机;BY-PRP-P1-015-航天器任务相机组;BY-REL-P0-005-揽月构型状态链;BY-REL-P0-006-月面摄像机摄影来源;BY-REL-P0-012-月面艺术化光照与声明;BY-REL-P1-001-月面空间总图;BY-REL-P1-007-摄影来源证据层级;BY-REL-P1-008-三段直播结构链;BY-SCN-P0-003-揽月登月舱舱内;BY-SCN-P0-004-月面着陆与作业区;BY-SCN-P0-006-北京飞控大厅与任务主屏;BY-SCN-P1-003-飞控中心媒体区;BY-VEH-P0-001-梦舟载人飞船;BY-VEH-P0-003-揽月登月舱;BY-VFX-P0-002-触月关机与月尘回落;BY-VFX-P0-003-第一足印月壤形变,BY-VOI-P0-001-杨凛声音;BY-VOI-P0-002-陈砚声音;BY-VOI-P0-003-刘定槎声音;BY-VOI-P1-002-林知夏声音;BY-VOI-P1-004-北京飞控主调度声音,BY-REL-P1-003-声音来源真实性;BY-SND-P0-001-舱内生命保障与设备底噪;BY-SND-P1-002-登月服内部呼吸与结构声;BY-SND-P1-003-发动机舱内结构振动;BY-SND-P1-008-飞控与测控大厅底噪;BY-SND-P1-009-媒体区直播现场声,BY-SYM-P1-003-任务阶段与时间跳跃标牌;BY-SYM-P1-007-直播进口出口与倒计时,可进入阶段2B｜优先按场次资产包生产
09,国旗展示与科学任务说明,061—068,8,65,BY-ANM-P1-001-月面科研时间压缩;BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CHR-P1-002-林知夏;BY-CHR-P1-006-顾青岚;BY-CST-P0-001-杨凛舱内飞行服;BY-CST-P0-002-陈砚舱内飞行服;BY-CST-P0-004-杨凛望宇登月服;BY-CST-P0-005-陈砚望宇登月服;BY-CST-P1-001-杨凛登月服轻度月尘状态;BY-CST-P1-002-陈砚登月服轻度月尘状态;BY-CST-P1-004-林知夏记者服装;BY-CST-P1-008-顾青岚专家服装;BY-LGT-P0-004-月面艺术化任务日光;BY-LGT-P1-008-飞控媒体区直播光;BY-PRP-P0-003-便携式月面摄像机;BY-PRP-P0-004-工程化国旗展示装置;BY-PRP-P1-002-月壤样品容器;BY-PRP-P1-003-月面科学观测设备;BY-PRP-P1-012-月球车任务相机组;BY-PRP-P1-014-宇航服任务相机;BY-REL-P0-005-揽月构型状态链;BY-REL-P0-006-月面摄像机摄影来源;BY-REL-P0-007-国旗装置部署链;BY-REL-P0-012-月面艺术化光照与声明;BY-REL-P1-001-月面空间总图;BY-REL-P1-006-月面科学路线与样品链;BY-REL-P1-007-摄影来源证据层级;BY-REL-P1-008-三段直播结构链;BY-SCN-P0-004-月面着陆与作业区;BY-SCN-P1-003-飞控中心媒体区;BY-SCN-P1-005-月面后段科考区;BY-SYM-P0-001-中华人民共和国国旗图形;BY-VEH-P0-003-揽月登月舱;BY-VEH-P0-004-探索载人月球车;BY-VFX-P1-007-月球车轮迹与低重力扬尘,BY-VOI-P0-001-杨凛声音;BY-VOI-P1-002-林知夏声音;BY-VOI-P1-004-北京飞控主调度声音;BY-VOI-P1-014-顾青岚声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-002-登月服内部呼吸与结构声;BY-SND-P1-003-发动机舱内结构振动;BY-SND-P1-007-月球车设备链路结构声;BY-SND-P1-009-媒体区直播现场声,BY-SYM-P1-007-直播进口出口与倒计时,可进入阶段2B｜优先按场次资产包生产
10,月面科研时间压缩,069—076,8,70,BY-ANM-P1-001-月面科研时间压缩;BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CST-P0-001-杨凛舱内飞行服;BY-CST-P0-002-陈砚舱内飞行服;BY-CST-P0-004-杨凛望宇登月服;BY-CST-P0-005-陈砚望宇登月服;BY-CST-P1-001-杨凛登月服轻度月尘状态;BY-CST-P1-002-陈砚登月服轻度月尘状态;BY-LGT-P0-004-月面艺术化任务日光;BY-PRP-P0-003-便携式月面摄像机;BY-PRP-P0-004-工程化国旗展示装置;BY-PRP-P0-005-密封样品转移容器;BY-PRP-P1-001-月面采样工具;BY-PRP-P1-002-月壤样品容器;BY-PRP-P1-003-月面科学观测设备;BY-PRP-P1-008-主样品容器编号与固定座;BY-PRP-P1-012-月球车任务相机组;BY-PRP-P1-014-宇航服任务相机;BY-REL-P0-005-揽月构型状态链;BY-REL-P0-006-月面摄像机摄影来源;BY-REL-P0-007-国旗装置部署链;BY-REL-P0-008-样品转移链;BY-REL-P0-012-月面艺术化光照与声明;BY-REL-P1-001-月面空间总图;BY-REL-P1-006-月面科学路线与样品链;BY-REL-P1-007-摄影来源证据层级;BY-SCN-P0-004-月面着陆与作业区;BY-SCN-P1-005-月面后段科考区;BY-SYM-P0-001-中华人民共和国国旗图形;BY-VEH-P0-003-揽月登月舱;BY-VEH-P0-004-探索载人月球车;BY-VFX-P1-007-月球车轮迹与低重力扬尘,BY-VOI-P0-001-杨凛声音;BY-VOI-P0-002-陈砚声音;BY-VOI-P1-004-北京飞控主调度声音;BY-VOI-P1-014-顾青岚声音,BY-REL-P1-003-声音来源真实性;BY-SND-P1-002-登月服内部呼吸与结构声;BY-SND-P1-007-月球车设备链路结构声,BY-SYM-P1-003-任务阶段与时间跳跃标牌;BY-SYM-P1-004-任务轨迹与相位图模板;BY-SYM-P1-005-样品编号与封签模板,可进入阶段2B｜优先按场次资产包生产
