场次编号,场名,镜号范围,所需视觉资产ID,所需人物音色ID,同步声音约束ID,后期文字／图形资产ID,阶段2B资产状态
1,月轨相遇,001-005,BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CHR-P0-003-刘定槎;BY-CRO-P1-002-深空测控值班团队;BY-CST-P0-001-杨凛舱内飞行服;BY-CST-P0-002-陈砚舱内飞行服;BY-CST-P0-003-刘定槎舱内飞行服;BY-LGT-P0-001-梦舟舱内任务光;BY-LGT-P1-004-环月轨道太阳光;BY-LGT-P1-006-深空测控站任务光;BY-PRP-P0-001-梦舟三座椅与束缚系统;BY-PRP-P1-006-舱内操作界面与任务屏;BY-SCN-P0-001-梦舟舱内三座布局;BY-SCN-P0-005-梦舟环月工作位;BY-SCN-P1-006-环月轨道外部环境;BY-SCN-P1-007-佳木斯66米深空测控站;BY-VEH-P0-002-揽月完整构型;BY-VEH-P0-005-梦舟月轨组合体;BY-VFX-P1-002-环月轨道交会与对接,BY-VOI-P0-001-杨凛声音;BY-VOI-P0-003-刘定槎声音;BY-VOI-P1-002-林知夏声音;BY-VOI-P1-004-北京飞控主调度声音;BY-VOI-P1-005-林海深空测控声音;BY-VOI-P1-009-小天任务智能体声音,BY-SND-P0-001-舱内生命保障与设备底噪;BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-001-舱门对接机构结构传导,BY-SYM-P0-002-艺术化光照偏差推演声明;BY-SYM-P1-001-未来纪实推演标识;BY-SYM-P1-003-任务阶段与时间跳跃标牌;BY-SYM-P1-004-任务轨迹与相位图模板,需求已映射；资产尚待逐项设计并确认可调用
2,环月对接,006-012,BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CHR-P0-003-刘定槎;BY-CRO-P1-001-北京飞控任务团队;BY-CST-P0-001-杨凛舱内飞行服;BY-CST-P0-002-陈砚舱内飞行服;BY-CST-P0-003-刘定槎舱内飞行服;BY-LGT-P0-001-梦舟舱内任务光;BY-LGT-P0-002-揽月下降任务光;BY-LGT-P1-003-飞控大厅任务光;BY-LGT-P1-004-环月轨道太阳光;BY-PRP-P1-006-舱内操作界面与任务屏;BY-SCN-P0-003-揽月登月舱舱内;BY-SCN-P0-005-梦舟环月工作位;BY-SCN-P0-006-北京飞控大厅与任务主屏;BY-SCN-P1-006-环月轨道外部环境;BY-VEH-P0-002-揽月完整构型;BY-VEH-P0-005-梦舟月轨组合体;BY-VFX-P1-002-环月轨道交会与对接;BY-VFX-P1-004-姿控喷流,BY-VOI-P0-001-杨凛声音;BY-VOI-P0-002-陈砚声音;BY-VOI-P0-003-刘定槎声音;BY-VOI-P1-004-北京飞控主调度声音;BY-VOI-P1-009-小天任务智能体声音,BY-SND-P0-001-舱内生命保障与设备底噪;BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-001-舱门对接机构结构传导;BY-SND-P1-008-飞控与测控大厅底噪,BY-SYM-P1-004-任务轨迹与相位图模板,需求已映射；资产尚待逐项设计并确认可调用
3,人员与任务转移,013-019,BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CHR-P0-003-刘定槎;BY-CST-P0-001-杨凛舱内飞行服;BY-CST-P0-002-陈砚舱内飞行服;BY-CST-P0-003-刘定槎舱内飞行服;BY-LGT-P0-001-梦舟舱内任务光;BY-LGT-P0-002-揽月下降任务光;BY-PRP-P0-001-梦舟三座椅与束缚系统;BY-PRP-P1-005-两器舱门与对接锁止结果件;BY-PRP-P1-006-舱内操作界面与任务屏;BY-PRP-P1-007-任务数据盒与随身救生包;BY-SCN-P0-001-梦舟舱内三座布局;BY-SCN-P0-002-梦舟对接通道与舱门区;BY-SCN-P0-003-揽月登月舱舱内;BY-SCN-P0-005-梦舟环月工作位,BY-VOI-P0-001-杨凛声音;BY-VOI-P0-002-陈砚声音;BY-VOI-P0-003-刘定槎声音;BY-VOI-P1-009-小天任务智能体声音,BY-SND-P0-001-舱内生命保障与设备底噪;BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-001-舱门对接机构结构传导,BY-SYM-P1-004-任务轨迹与相位图模板,需求已映射；资产尚待逐项设计并确认可调用
4,分离与降轨,020-025,BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CRO-P1-001-北京飞控任务团队;BY-CRO-P1-002-深空测控值班团队;BY-CST-P0-001-杨凛舱内飞行服;BY-CST-P0-002-陈砚舱内飞行服;BY-LGT-P0-002-揽月下降任务光;BY-LGT-P1-003-飞控大厅任务光;BY-LGT-P1-004-环月轨道太阳光;BY-LGT-P1-006-深空测控站任务光;BY-PRP-P1-006-舱内操作界面与任务屏;BY-SCN-P0-003-揽月登月舱舱内;BY-SCN-P0-006-北京飞控大厅与任务主屏;BY-SCN-P1-006-环月轨道外部环境;BY-SCN-P1-008-喀什35米深空测控站;BY-VEH-P0-002-揽月完整构型;BY-VEH-P0-003-揽月登月舱;BY-VEH-P0-005-梦舟月轨组合体;BY-VEH-P1-003-揽月推进舱分离状态;BY-VFX-P1-004-姿控喷流,BY-VOI-P0-001-杨凛声音;BY-VOI-P0-003-刘定槎声音;BY-VOI-P1-004-北京飞控主调度声音;BY-VOI-P1-006-叶河深空测控声音;BY-VOI-P1-007-天衡测轨声音,BY-SND-P0-001-舱内生命保障与设备底噪;BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-001-舱门对接机构结构传导;BY-SND-P1-003-发动机舱内结构振动;BY-SND-P1-008-飞控与测控大厅底噪,BY-SYM-P1-004-任务轨迹与相位图模板,需求已映射；资产尚待逐项设计并确认可调用
5,动力下降,026-038,BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CRO-P1-001-北京飞控任务团队;BY-CRO-P1-002-深空测控值班团队;BY-CST-P0-001-杨凛舱内飞行服;BY-CST-P0-002-陈砚舱内飞行服;BY-LGT-P0-002-揽月下降任务光;BY-LGT-P0-004-月面艺术化任务日光;BY-LGT-P1-003-飞控大厅任务光;BY-LGT-P1-006-深空测控站任务光;BY-PRP-P1-006-舱内操作界面与任务屏;BY-SCN-P0-003-揽月登月舱舱内;BY-SCN-P0-004-月面着陆与作业区;BY-SCN-P0-006-北京飞控大厅与任务主屏;BY-SCN-P1-007-佳木斯66米深空测控站;BY-SCN-P1-008-喀什35米深空测控站;BY-VEH-P0-003-揽月登月舱;BY-VFX-P0-001-月面下降羽流与贴地月尘;BY-VFX-P0-002-触月关机与月尘回落,BY-VOI-P0-001-杨凛声音;BY-VOI-P0-002-陈砚声音;BY-VOI-P1-004-北京飞控主调度声音;BY-VOI-P1-005-林海深空测控声音;BY-VOI-P1-006-叶河深空测控声音;BY-VOI-P1-007-天衡测轨声音;BY-VOI-P1-009-小天任务智能体声音,BY-SND-P0-001-舱内生命保障与设备底噪;BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-003-发动机舱内结构振动;BY-SND-P1-008-飞控与测控大厅底噪,BY-SYM-P1-003-任务阶段与时间跳跃标牌;BY-SYM-P1-004-任务轨迹与相位图模板,需求已映射；资产尚待逐项设计并确认可调用
6,触月确认,039-042,BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CRO-P1-001-北京飞控任务团队;BY-CST-P0-001-杨凛舱内飞行服;BY-CST-P0-002-陈砚舱内飞行服;BY-LGT-P0-002-揽月下降任务光;BY-LGT-P0-004-月面艺术化任务日光;BY-LGT-P1-003-飞控大厅任务光;BY-SCN-P0-003-揽月登月舱舱内;BY-SCN-P0-004-月面着陆与作业区;BY-SCN-P0-006-北京飞控大厅与任务主屏;BY-VEH-P0-003-揽月登月舱;BY-VFX-P0-002-触月关机与月尘回落,BY-VOI-P0-001-杨凛声音;BY-VOI-P0-002-陈砚声音;BY-VOI-P1-002-林知夏声音;BY-VOI-P1-004-北京飞控主调度声音,BY-SND-P0-001-舱内生命保障与设备底噪;BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-008-飞控与测控大厅底噪,BY-SYM-P1-004-任务轨迹与相位图模板,需求已映射；资产尚待逐项设计并确认可调用
7,出舱准备,043-048,BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CST-P0-001-杨凛舱内飞行服;BY-CST-P0-002-陈砚舱内飞行服;BY-CST-P0-004-杨凛望宇登月服;BY-CST-P0-005-陈砚望宇登月服;BY-LGT-P0-002-揽月下降任务光;BY-LGT-P0-004-月面艺术化任务日光;BY-LGT-P1-005-揽月开舱门月面反射;BY-PRP-P0-002-揽月舷梯与扶手系统;BY-PRP-P0-003-便携式月面摄像机;BY-PRP-P0-004-工程化国旗展示装置;BY-PRP-P1-001-月面采样工具;BY-PRP-P1-002-月壤样品容器;BY-PRP-P1-004-月面工具包与载荷固定系统;BY-PRP-P1-006-舱内操作界面与任务屏;BY-SCN-P0-003-揽月登月舱舱内;BY-SCN-P0-004-月面着陆与作业区;BY-SYM-P0-001-中华人民共和国国旗图形;BY-SYM-P1-005-样品编号与封签模板;BY-VEH-P0-003-揽月登月舱,BY-VOI-P0-001-杨凛声音;BY-VOI-P0-002-陈砚声音;BY-VOI-P1-004-北京飞控主调度声音;BY-VOI-P1-009-小天任务智能体声音,BY-SND-P0-001-舱内生命保障与设备底噪;BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-001-舱门对接机构结构传导;BY-SND-P1-002-登月服内部呼吸与结构声,BY-SYM-P1-003-任务阶段与时间跳跃标牌;BY-SYM-P1-004-任务轨迹与相位图模板,需求已映射；资产尚待逐项设计并确认可调用
8,第一步与国旗,049-057,BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CHR-P1-002-林知夏;BY-CRO-P1-001-北京飞控任务团队;BY-CRO-P1-002-深空测控值班团队;BY-CST-P0-004-杨凛望宇登月服;BY-CST-P0-005-陈砚望宇登月服;BY-CST-P1-004-林知夏记者服装;BY-LGT-P0-004-月面艺术化任务日光;BY-LGT-P1-003-飞控大厅任务光;BY-LGT-P1-006-深空测控站任务光;BY-PRP-P0-002-揽月舷梯与扶手系统;BY-PRP-P0-003-便携式月面摄像机;BY-PRP-P0-004-工程化国旗展示装置;BY-SCN-P0-004-月面着陆与作业区;BY-SCN-P0-006-北京飞控大厅与任务主屏;BY-SCN-P1-003-飞控中心媒体区;BY-SCN-P1-007-佳木斯66米深空测控站;BY-SYM-P0-001-中华人民共和国国旗图形;BY-VEH-P0-003-揽月登月舱;BY-VFX-P0-003-第一足印月壤形变,BY-VOI-P0-001-杨凛声音;BY-VOI-P0-002-陈砚声音;BY-VOI-P1-002-林知夏声音;BY-VOI-P1-004-北京飞控主调度声音;BY-VOI-P1-005-林海深空测控声音,BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-002-登月服内部呼吸与结构声;BY-SND-P1-008-飞控与测控大厅底噪,BY-SYM-P1-003-任务阶段与时间跳跃标牌;BY-SYM-P1-004-任务轨迹与相位图模板,需求已映射；资产尚待逐项设计并确认可调用
9,月面科学任务,058-067,BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CHR-P0-003-刘定槎;BY-CST-P0-003-刘定槎舱内飞行服;BY-CST-P0-004-杨凛望宇登月服;BY-CST-P0-005-陈砚望宇登月服;BY-LGT-P0-001-梦舟舱内任务光;BY-LGT-P0-004-月面艺术化任务日光;BY-PRP-P0-003-便携式月面摄像机;BY-PRP-P0-004-工程化国旗展示装置;BY-PRP-P1-001-月面采样工具;BY-PRP-P1-002-月壤样品容器;BY-PRP-P1-003-月面科学观测设备;BY-PRP-P1-006-舱内操作界面与任务屏;BY-SCN-P0-004-月面着陆与作业区;BY-SCN-P0-005-梦舟环月工作位;BY-SCN-P1-005-月面后段科考区;BY-SCN-P1-010-北京飞控地质席;BY-SYM-P0-001-中华人民共和国国旗图形;BY-SYM-P1-005-样品编号与封签模板;BY-VEH-P0-003-揽月登月舱;BY-VEH-P0-004-探索载人月球车;BY-VFX-P1-007-月球车轮迹与低重力扬尘,BY-VOI-P0-001-杨凛声音;BY-VOI-P0-002-陈砚声音;BY-VOI-P0-003-刘定槎声音;BY-VOI-P1-004-北京飞控主调度声音;BY-VOI-P1-010-北京地质席声音,BY-SND-P0-001-舱内生命保障与设备底噪;BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-002-登月服内部呼吸与结构声;BY-SND-P1-007-月球车设备链路结构声,BY-SYM-P1-003-任务阶段与时间跳跃标牌;BY-SYM-P1-004-任务轨迹与相位图模板,需求已映射；资产尚待逐项设计并确认可调用
10,返舱与起飞准备,068-073,BY-CHR-P0-001-杨凛;BY-CHR-P0-002-陈砚;BY-CRO-P1-001-北京飞控任务团队;BY-CST-P0-004-杨凛望宇登月服;BY-CST-P0-005-陈砚望宇登月服;BY-LGT-P0-002-揽月下降任务光;BY-LGT-P0-004-月面艺术化任务日光;BY-LGT-P1-003-飞控大厅任务光;BY-PRP-P0-002-揽月舷梯与扶手系统;BY-PRP-P0-005-密封样品转移容器;BY-PRP-P1-006-舱内操作界面与任务屏;BY-PRP-P1-008-主样品容器编号与固定座;BY-PRP-P1-009-污染控制用品;BY-SCN-P0-003-揽月登月舱舱内;BY-SCN-P0-004-月面着陆与作业区;BY-SCN-P0-006-北京飞控大厅与任务主屏;BY-VEH-P0-003-揽月登月舱,BY-VOI-P0-001-杨凛声音;BY-VOI-P0-002-陈砚声音;BY-VOI-P1-004-北京飞控主调度声音;BY-VOI-P1-007-天衡测轨声音;BY-VOI-P1-009-小天任务智能体声音,BY-SND-P0-001-舱内生命保障与设备底噪;BY-SND-P0-002-地月无线电通信质感;BY-SND-P1-001-舱门对接机构结构传导;BY-SND-P1-002-登月服内部呼吸与结构声;BY-SND-P1-008-飞控与测控大厅底噪,BY-SYM-P1-004-任务轨迹与相位图模板,需求已映射；资产尚待逐项设计并确认可调用
