生产包ID,生产包,内容,级别,顺序
P13-01,人物、服装与稳定音色,林知夏、何文澜、孙亦川、顾青岚及三名航天员；先确认三位新增专家脸、服装和独立音色,P0/P1,先行
P13-02,梦舟四状态与空间连续,同一返回舱母图、三座承力区、环月工作位、轴向通道、四种乘员状态,P0,最高优先
P13-03,揽月构型与动作链,无人月轨状态、下降、着陆、单人出舱、回舱、整器起飞、再对接,P0,最高优先
P13-04,摄影来源与遥测视觉重建,任务相机组、视觉重建合成、来源角标、地月尺度连续,P0/P1,最高优先
P13-05,月面相机与空间连续,便携相机部署、同机位复用、宇航服相机、月球车前向和侧后相机,P0/P1,最高优先
P13-06,国旗与月面科学任务,国旗装置、月球车、采样、岩芯、载荷、样品与月尘状态,P0/P1,第二优先
P13-07,飞控、媒体区与深空测控,飞控大厅、媒体区直播、专家采访、佳木斯链路、任务UI与图卡,P0/P1,第二优先
P13-08,梦舟返回与再入,离月、服务舱分离、两段再入、黑障、红外发现和主伞,P0/P1,第二优先
P13-09,东风着陆与医监回收,着陆场、直升机车组、安全处置、开舱、座椅／担架、样品交接,P0/P1,第二优先
P13-10,声音与后期图形约束,无配乐、月面外部静音、独立音色、直播图形、时间码与推演声明,P0/P1,贯穿
P13-11,119镜映射与QA,逐镜ID校验、摄影来源、状态变体、停用资产隔离和场次聚合,P0,阶段2B入口
